Product_name,Alcohol_amount,Alcohol_percent,Price,Category
Place Of Changing Winds Heathcote Syrah 2019,75,13,44.95,Wine & Champagne
Polperro Pinot Noir 2019,75,13.5,34.95,Wine & Champagne
Leko Red Wine Koerner 2020,75,13.5,27.95,Wine & Champagne
Sancerre Clos de Beaujeu 2018,75,13,38.95,Wine & Champagne
Quinta da Pedra Escrita Tinto 2018,75,14,21.95,Wine & Champagne
Wishbone Shiraz Grenache 2020,75,14,11.75,Wine & Champagne
Kerner Cantina Valle Isarco 2020,75,14,14.95,Wine & Champagne
Matetic Corralillo Sauvignon Blanc 2020,75,13.5,12.75,Wine & Champagne
Muscat de Beaumes de Venise Domaine Durban 2018,37.5,15,10.95,Wine & Champagne
Billaud-Simon Chablis 2019,75,13,24.95,Wine & Champagne
Wehlener Sonnenuhr Riesling Auslese 2018,75,8,44.95,Wine & Champagne
Chablis Les Serres Domaine Oudin 2018,75,12.5,26.95,Wine & Champagne
Essensia Orange Muscat 2019,37.5,15,13.95,Wine & Champagne
Revolution Tannat Vina Progresso 2019,75,13.5,15.95,Wine & Champagne
Les Fleurs de Montblanc Syrah Rose 2019,75,12.5,10.95,Wine & Champagne
Natte Valleij Stellenbosch Cinsault 2019,75,11,19.95,Wine & Champagne
Aloxe Corton Maison en Belles Lies 2018,75,13.5,46.95,Wine & Champagne
Fermentacion Lenta 2019,75,14,34.95,Wine & Champagne
Cien y Pico Doble Pasta Mancheula Garnacha Tintorera 2019,75,14,14.95,Wine & Champagne
VDF CRBR Oiseau Rebelle 2016,37,14,43.95,Wine & Champagne
VDF 'le Mansois' Mine de Vin 2020,75,11.5,20.95,Wine & Champagne
Irancy Thierry Richoux 2017,75,13,28.95,Wine & Champagne
Coteaux du Loir Vieilles Vignes Eparses Domaine de Belliviere 2016,75,13,44.95,Wine & Champagne
Riesling Grand Cru Altenberg de Wolxhein Domaine Lissner 2017,75,13.5,31.95,Wine & Champagne
Rousette de Savoie Quintessence Domaine Orchis 2017,75,13,24.95,Wine & Champagne
Ribeiro Ollos de Roque Augalevada 2017,75,12,27.95,Wine & Champagne
Pinot Noir Bodegas Cortijo Los Aguilares 2019,75,13.5,36.95,Wine & Champagne
Pollera Val di Magra Ruschi Noceti 2016,75,13,28.75,Wine & Champagne
Bressan Grigio in Grigio 2014,75,13,54.95,Wine & Champagne
A'Vita Rosato 2020,75,13,24.75,Wine & Champagne
Stella Bella Semillon Sauvignon Blanc 2020,75,13,16.45,Wine & Champagne
Catalans Rouge 2020,75,12.5,8.75,Wine & Champagne
R3 Riesling Corvers-Kauter 2020,75,12.5,20.50,Wine & Champagne
Riflesso Rosi Eugenio Rosi 2019,75,12.5,22.45,Wine & Champagne
Grecanico Pianogrillo 2020,75,12.5,18.95,Wine & Champagne
Pierluigi Zampaglione Don Chisciotte Fiano 2019,75,12.5,28.95,Wine & Champagne
Il Torchio Il Bianco Vermentino 2020,75,12,19.95,Wine & Champagne
Gavagai Canaiolo Podere Anima Mundi 2019,75,12.5,17.95,Wine & Champagne
SantYuste Verdejo Esmeralda Garcia 2019,75,13.5,22.95,Wine & Champagne
Vides Velles Carignan RIM vins 2018,75,13.5,31.95,Wine & Champagne
Zibibbo Secco 'Orange' Abbazia San Giorgio 2019,75,12.5,34.95,Wine & Champagne
Arbois Rouge Trousseau Fumey Chatelain 2018,75,12.6,21.95,Wine & Champagne
Niepoort Nat'Cool Drink Me Branco 2020,100,11.5,19.95,Wine & Champagne
Simpsons Gravel Castle Chardonnay 2020,75,12.5,17.25,Wine & Champagne
La Cayetana Syrah 2018,75,14,26.95,Wine & Champagne
Pasion de Bobal 2019,75,14,13.75,Wine & Champagne
Chateau Miraval Rose 2020,150,13,47.95,Wine & Champagne
Finca Suarez Chardonnay 2019,75,13,19.95,Wine & Champagne
Susana Balbo Signature White Blend 2020,75,12,20.45,Wine & Champagne
Giant Steps Light Dry Red Pinot Noir Shiraz 2018,75,13.5,21.95,Wine & Champagne
Albillo Real Vinos de Madrid 4 Monos Viticultores 2017,75,14,19.95,Wine & Champagne
Tinto Artifice Borja Perez Viticultor 2017,75,13.5,17.95,Wine & Champagne
Martinet Brun Mas Martinet Priorat 2016,75,14.5,22.95,Wine & Champagne
Dona Paula Sauvignon Blanc 2019,75,12.5,8.95,Wine & Champagne
Lionheart of the Barossa Shiraz 2018,37.5,14.5,7.95,Wine & Champagne
Pieropan Soave Classico 2020,37.5,12,8.95,Wine & Champagne
AA Badenhorst Curator Wine Cans Bundle,300,13.2,41.95,Wine & Champagne
Giant Steps Yarra Valley Chardonnay 2020,75,13,23.95,Wine & Champagne
Riesling Frankstein Grand Cru Domaine Beck-Hartweg 2017,75,13,29.95,Wine & Champagne
Szepsy Szamorodni Tokaji 2016,50,12,64.95,Wine & Champagne
Pommard Tavannes Domaine Ferand et Laurent Pillot 2018,75,13.5,37.95,Wine & Champagne
Cotes du Rhone Cuvee Trescartes 2018,37.5,14,8.25,Wine & Champagne
Brunello di Montalcino Caparzo 2016,37.5,13.5,21.95,Wine & Champagne
AA Badenhorst Curator White 2020,25,13,3.25,Wine & Champagne
Apostrophe Possessive Reds 2019,75,14,14.25,Wine & Champagne
Chi Elgin Riesling Saurwein 2020,75,12.5,23.95,Wine & Champagne
Boina Tinto Boutique Winery 2018,75,14,17.95,Wine & Champagne
Vin Rouge Ordinaire Alphabetical Wine 2019,75,14.5,11.45,Wine & Champagne
Vinhao Vinho Verde Tinto Anselmo Mendes 2019,75,12,13.75,Wine & Champagne
Restless River Cabernet Sauvignon 2017,75,14.5,49.95,Wine & Champagne
Aldo Viola Guarini Coccinella Syrah 2018,75,13,25.95,Wine & Champagne
AA Badenhorst Curator White 2020,100,13,14.95,Wine & Champagne
AA Badenhorst Curator Red 2020,100,14,14.95,Wine & Champagne
Luis Pato Vinha Pan 2016,75,13.5,39.95,Wine & Champagne
Niepoort Redoma Douro Branco 2019,75,12,23.25,Wine & Champagne
Niepoort Lagar de Baixo 2018,75,12.5,22.95,Wine & Champagne
Heartland Foreign Correspondent 2018,75,14.5,17.45,Wine & Champagne
Ten Minutes by Tractor 10x Chardonnay 2019,75,13.5,26.75,Wine & Champagne
Brokenwood Hunter Valley Semillon 2019,75,11,18.75,Wine & Champagne
Kilikanoon Pearce Road Semillon 2017,75,13,19.25,Wine & Champagne
Smith & Sheth Cru Heretaunga Syrah 2017,75,13,29.95,Wine & Champagne
Pyramid Valley North Canterbury Orange 2019,75,13.5,25.95,Wine & Champagne
Smith & Sheth Cru Wairau Sauvignon Blanc 2019,75,13,18.45,Wine & Champagne
Las Mercedes Singular Pais 2017,75,12.5,16.95,Wine & Champagne
Tinto Matervini 2017,75,14.5,43.45,Wine & Champagne
Ver Sacrum Dona Mencia de los Andes 2016,75,13.5,29.95,Wine & Champagne
Ver Sacrum Monastrell 2018,75,13,20.75,Wine & Champagne
Parcela Los Nidos Cara Sur 2018,75,13,47.45,Wine & Champagne
Terlan Rarity 2008,75,13.5,150,Wine & Champagne
Tenuta Mara Guiry 2018,75,13.5,26.95,Wine & Champagne
Jumilla Bodegas Olivares Tinto 2018,75,14.5,9.25,Wine & Champagne
Murdoch Hill Red Blend 2017,75,13.5,21.95,Wine & Champagne
Reverie Pinotage 2020,75,13,30.95,Wine & Champagne
Domaine Bott St-Joseph Blanc 2019,75,13,42.95,Wine & Champagne
Aphelion The Welkin Grenache 2020,75,13.6,24.95,Wine & Champagne
Murdoch Hill Chardonnay 2018,75,13,28.95,Wine & Champagne
Domaine des Buis Les Brumes 2019,75,11,23.95,Wine & Champagne
Domaine des Buis Marin D'Eau Douce 2019,75,12.5,20.75,Wine & Champagne
Chateau Leoville Barton 2012,75,13,90.95,Wine & Champagne
Saint Joseph Rouge 2018,75,14.5,39.95,Wine & Champagne
Pinot Noir Wine Duo,150,12.5,33.95,Wine & Champagne
Mas de Daumas Gassac Wine Duo,150,12.75,16.95,Wine & Champagne
Italian Wine Duo,150,13.25,26.75,Wine & Champagne
Saumur les Silices Domaine du Vieux Pressoir 2019,75,13,18.95,Wine & Champagne
Exceptional Harvest 2019,75,12.5,23.95,Wine & Champagne
Maranges Sur le Chene 2018,75,13,32.25,Wine & Champagne
GSM Ver Sacrum 2018,75,13,19.95,Wine & Champagne
Thistledown Vagabond Grenache 2019,75,14.5,19.75,Wine & Champagne
Casa Maria Verdejo Blanco La Catellana 2019,75,13,8.25,Wine & Champagne
Veneroso Tenuta Ghizzano 2016,75,13.5,28.95,Wine & Champagne
Domaine Maby Lirac Red 2018,37.5,14.5,10.95,Wine & Champagne
The Apple Doesn't Fall Too Far From,75,12.5,14.75,Wine & Champagne
Monterrei Alanda Blanco 2018,75,13,24.95,Wine & Champagne
Nathan Kendall Chardonnay 2018,75,12,39.95,Wine & Champagne
Barolo Classico Castiglione Falletto 2006,75,13.5,59.95,Wine & Champagne
Schatzel Nierstein Riesling Kabinett 2017,75,7.5,33.95,Wine & Champagne
Monthelie Blanc Laurent Boussey 2016,75,13.5,39.95,Wine & Champagne
Chateau La Graves de Pez 2016,75,13.5,28.95,Wine & Champagne
Aniello Blanco de Pinot Noir 2018,75,12.5,17.95,Wine & Champagne
Yeringberg Roussanne Marsanne 2016,75,14,26.95,Wine & Champagne
