Product_name,Alcohol_amount,Alcohol_percent,Price,Category
Hine Rare VSOP Cognac,70,40,47.45,Cognac
Hennessy VSOP Privilege Cognac,70,40,54.95,Cognac
Hennessy XO Cognac,70,40,162,Cognac
Courvoisier XO Cognac,70,40,115,Cognac
Remy Martin 1738 Accord Royal Cognac,70,40,53.25,Cognac
Remy Martin XO Cognac,70,40,164,Cognac
Hardy XO Rare Cognac,70,40,84.95,Cognac
ABK6 VSOP Single Estate Cognac,70,40,47.95,Cognac
Chateau de Montifaud VSOP Cognac,70,40,38.75,Cognac
Hennessy VS Cognac,70,40,38.45,Cognac
Cognac Park Mizunara Cask,70,43.5,47.95,Cognac
Bache Gabrielsen VS 3 Kors Cognac,70,40,24.75,Cognac
Martell VS Cognac,70,40,30.95,Cognac
Maxime Trijol XO Classic Cognac,70,40,96.45,Cognac
Frapin VSOP Grande Champagne Cognac,70,40,53.95,Cognac
Martell XO Cognac,70,40,162,Cognac
Philbert XO Cognac,70,40,69.75,Cognac
Camus Intensely Aromatic VSOP Cognac,70,40,37.95,Cognac
Hardy Legend 1863 Cognac,70,40,49.95,Cognac
Chateau de Montifaud XO Fine Petite Champagne Cognac,70,40,71.75,Cognac
Ferrand 1840 Cognac,70,45,46.95,Cognac
AE Dor VSOP Fine Champagne Cognac,70,40,53.45,Cognac
Delamain Vesper XO Grande Champagne Cognac,70,40,165,Cognac
Remy Martin VSOP Cognac,70,40,43.25,Cognac
Martell Cordon Bleu Cognac,70,40,125,Cognac
Braastad XO Superior,70,42,150,Cognac
Jean-Luc Pasquet Le Cognac de Noël Lot 94,50,46.4,81.95,Cognac
Cognac Park Millesimes Petite Champange 1972,70,40,385,Cognac
Cognac Park 10 Year Old Mizunara Cask,70,44,68.95,Cognac
Camus Caribbean Expedition,70,45.3,94.95,Cognac
Jean-Luc Pasquet L’Organic 10 Grande Champagne,70,40,55.95,Cognac
Jean-Luc Pasquet L’Organic 07 Grande Champagne Cognac,70,40,46.95,Cognac
Braastad XO Fine Champagne Cognac,70,40,69.95,Cognac
Braastad VS Cognac,70,40,31.45,Cognac
Courvoisier VSOP Exclusif Cognac,35,40,39.95,Cognac
Maxime Trijol VS Cognac,70,40,33.45,Cognac
Hine Antique XO Cognac,70,40,148,Cognac
Delamain Collection Revelation Malaville Very Old Cognac,70,44.3,176,Cognac
Philbert Dovecote Petite Champagne Cognac,70,40,52.45,Cognac
Jean-Luc Pasquet Le Cognac de Claude Lot 84,50,49.8,135,Cognac
Cognac Patte Blanche VSOP Bio,70,40,41.25,Cognac
Cognac Patte Blanche VS Bio,70,40,35.95,Cognac
Jean-Luc Pasquet L’Organic 04 Grande Champagne,70,40,39.95,Cognac
Braastad VSOP Organic Cognac,50,40,31.45,Cognac
Braastad VSOP Cognac,70,40,37.25,Cognac
