Product_name,Alcohol_amount,Alcohol_percent,Price,Category
Hine 1987 Early Landed Vintage Cognac,70,40,450,Cognac
Otard 1900 Old Liqueur Brandy,70,40,"3,500",Cognac
Frapin Chateau de Fontpinot,70,41,299,Cognac
John Exshaw Age d'Or Cognac,70,40,750,Cognac
Arthur Godfree 1878 Cognac,70,40,"4,000",Cognac
Gautier Freres 1937 Cognac,68,40,900,Cognac
Prunier 1914 Cognac,68,40,"1,500",Cognac
Jules Gilson 1865 Cognac,70,40,"5,000",Cognac
Prunier 1900 Cognac,68,40,"2,500",Cognac
Denis-Mounié Edouard VII Cognac,70,40,250,Cognac
Martell VOP 3 Stars Cognac,73,42,"1,000",Cognac
Rémy Martin Louis XIII,150,40,"7,500",Cognac
Raymond Ragnaud Heritage Cognac,70,45,850,Cognac
Martell Cordon Bleu Cognac,68,40,700,Cognac
Martell VSOP Cognac,75,42,399,Cognac
Martell VOP 3 Stars Cognac,75,40,250,Cognac
Merlet St Sauvant Cognac,70,44.3,89.45,Cognac
Berry Bros 1930 Arthenac Cognac,68,40,550,Cognac
John Exshaw 1935 Cognac,70,40,"1,000",Cognac
John Mark & Co. 1893 Cognac,70,40,"3,000",Cognac
Martell Jubilee Cognac (1905-1980),70,45,"1,800",Cognac
Martell VOP 3 Stars Cognac,50,40,450,Cognac
Tesseron Lot 53 XO Perfection Cognac,70,40,262,Cognac
Hardy L'Ete Lalique Decanter,70,41,"8,500",Cognac
Hardy Printemps Lalique Crystal Decanter,70,41,"8,500",Cognac
Barnett & Fils 1840 Cognac,70,40,"5,000",Cognac
Guillon-Painturaud Renaissance Cognac,70,40,299,Cognac
Michel Forgeron Barrique 98 Grande Champagne Cognac,50,47,74.95,Cognac
Michel Forgeron Barrique 97 Grande Champagne Cognac,50,47,82.95,Cognac
Michel Forgeron Barrique 96 Grande Champagne Cognac,50,47,84.95,Cognac
Michel Forgeron Barrique 94 Grande Champagne Cognac,50,47,80.95,Cognac
Marquis C de Genet 1811 Cognac,70,40,"9,000",Cognac
Martell Extra Cognac,75,44,"1,500",Cognac
Remy Martin Louis XIII Cognac,75,40,"5,500",Cognac
Vallein-Tercinier Conjugaison 49 Cognac,70,43.2,480,Cognac
Vallein-Tercinier Lot 40 Hommage Cognac,70,49.7,390,Cognac
Vallein-Tercinier Lot 66 Cognac,70,51.3,275,Cognac
Vallein-Tercinier Hors d'Age Cognac,70,42,130,Cognac
Vallein-Tercinier XO 46° Small Batch Cognac,70,46,74.95,Cognac
Vallein-Tercinier VSOP Premium Selection Cognac,70,40,39.95,Cognac
Vallein-Tercinier VS Selection Cognac,70,40,34.95,Cognac
Hine 1973 Cognac,70,40,400,Cognac
A De Luze & Fils 1893 Cognac,75,40,"3,500",Cognac
Prunier Vieux Cognac,70,40,750,Cognac
Le Corcellet 1825 Cognac,75,40,"6,250",Cognac
Martell Cordon Bleu Cognac,68,40,650,Cognac
Ferdinand De Roffignac Cognac,70,40,250,Cognac
Hedges & Butler 1865 Cognac,70,40,"4,500",Cognac
Martell Cordon Argent Extra Cognac,70,44,850,Cognac
Bisquit Dubouche 1858 Cognac,73,42,"3,250",Cognac
Denis-Mounié Edouard VII Cognac,75,40,350,Cognac
Martell VSOP,68,40,299,Cognac
Delor 1811 Cognac,75,40,"9,000",Cognac
Martell Cordon Argent Cognac,70,40,"1,750",Cognac
Remi Landier,70,45.9,89.95,Cognac
Vaudon Cask 78+80,70,48.5,160,Cognac
Bisquit Dubouche Extra Vieille,75,40,500,Cognac
Remy Martin Louis XIII Cognac,70,40,"5,500",Cognac
Martell Cordon Argent Cognac,73,40,"1,200",Cognac
Remy Martin Louis XIII Cognac,75.7,40,"5,500",Cognac
Remy Martin Louis XIII Cognac,75.7,40,"5,500",Cognac
Remy Martin Louis XIII Cognac,70,40,"5,000",Cognac
Pinet Castillon 1914 Cognac,68,40,"1,000",Cognac
Martell Cordon Bleu Cognac,70,40,650,Cognac
Prunier Grande Champagne 1981 Cognac,70,42.1,330,Cognac
Prunier Petite Champagne 1979 Cognac,70,54.1,335,Cognac
Prunier 1978 Borderies Cognac,70,52.8,335,Cognac
Prunier 1974 Fins Bois Cognac,70,52.7,370,Cognac
Prunier 1968 Fins Bois Cognac,70,61.9,625,Cognac
Courvoisier 3 Stars Luxe Cognac,68,40,175,Cognac
Remy Martin Louis XIII Cognac,75.7,40,"7,500",Cognac
Mercier Roger 1900 Cognac,70,40,"2,500",Cognac
Eschenauer 1878 Cognac,75,40,"4,750",Cognac
Hine 1967,70,41,450,Cognac
Army & Navy Stores 1928 Cognac,75,40,750,Cognac
Martell Extra Cognac,70,43,"1,500",Cognac
Remy Martin VSOP Cognac,70,40,175,Cognac
Martell Extra Cognac,68,43,"1,500",Cognac
Bisquit Dubouche 1858 Cognac,73,42,"3,500",Cognac
Remy Martin Louis XIII Cognac,75,40,"7,500",Cognac
Otard's 1875 Liqueur Cognac,75,40,"4,000",Cognac
Hine 1986 Early Landed Vintage Cognac,70,40,480,Cognac
Hine 1984 Early Landed Vintage Cognac,70,40,500,Cognac
Hine 1981 Early Landed Vintage Cognac,70,40,530,Cognac
Hine 1978 Early Landed Vintage Cognac,70,40,"1,100",Cognac
Hine 1990 Jarnac-aged Vintage Cognac,70,40,295,Cognac
Hine 1989 Jarnac-aged Vintage Cognac,70,40,299,Cognac
Hine 1987 Jarnac-aged Vintage Cognac,70,40,325,Cognac
Hine 1986 Jarnac-aged Vintage Cognac,70,40,500,Cognac
Hine 1983 Vintage Cognac,70,40,450,Cognac
G T Jones 1865 Cognac,75,40,"5,000",Cognac
Meukow Rarissime Tres Vieux,70,41.3,500,Cognac
Martell Cordon Bleu Cognac,68,40,650,Cognac
Last Drop 1947 Single Estate Cognac,75,41.1,"3,200",Cognac
Martell Cordon Bleu Cognac,70,40,700,Cognac
Fanny Fougerat Iris Poivré XO Cognac,70,40,65.45,Cognac
Martell VOP 3 Stars Cognac,73,40,225,Cognac
Croizet VSOP Cognac,75,42,175,Cognac
Martell Extra Cognac,70,43,"1,500",Cognac
Martell Cordon Argent Extra Cognac,70,43,850,Cognac
Delamain 1969,70,40,450,Cognac
Martell Cordon Bleu Cognac,70,40,700,Cognac
Hine 1844 Cognac,75,40,"7,500",Cognac
Martell Cordon Bleu Cognac,75,40,750,Cognac
Martell Cordon Bleu Cognac,73,40,700,Cognac
Martell Cordon Bleu Cognac,75,40,750,Cognac
Eschenauer 1848 Cognac,70,40,"7,500",Cognac
Martell Cordon Bleu Cognac,70,40,700,Cognac
Martell Extra Cognac,75,40,"1,750",Cognac
Martell VOP 3 Stars Cognac,70,40,250,Cognac
Averys 1893 Cognac,75,40,"3,000",Cognac
Sazerac de Forge 1870 Cognac,70,40,"5,000",Cognac
Michel Forgeron Barrique 79 Grande Champagne Cognac,50,54,180,Cognac
Michel Forgeron Barrique 90 Grande Champagne Cognac,50,47,98.95,Cognac
Michel Forgeron Barrique 93 Grande Champagne Cognac,50,47,80.95,Cognac
Paul Giraud VSOP Cognac,70,40,53.95,Cognac
Prunier Grande Champagne 1975 Cognac,70,53.5,540,Cognac
Augier Freres 1878 Cognac,70,40,"5,000",Cognac
Martell Cordon Argent Extra Cognac,70,42,850,Cognac
Croizet Age Inconnu Cognac,75,40,399,Cognac
A de Fussigny 1988 Cognac,70,43,350,Cognac
Michel Couprie XO Tres Vielle Reserve Cognac,70,40,103,Cognac
Michel Couprie Napoleon Cognac,70,40,68.75,Cognac
Maison Couprie VSOP Cognac,70,40,56.95,Cognac
Leyrat XO Elite Cognac,70,40,139,Cognac
Martell Cordon Bleu Cognac,68,40,700,Cognac
Martell Cordon Bleu Cognac,68,40,700,Cognac
Gautier Freres 1865 Cognac,75,40,"5,000",Cognac
Camus Extra Dark & Intense Cognac,70,40,400,Cognac
Denis-Mounié 1973 Cognac,70,40,425,Cognac
Remy Martin VSOP Cognac,70,40,150,Cognac
Remy Martin VSOP Cognac,100,40,199,Cognac
Martell 1929 Cognac,70,40,"1,250",Cognac
Cockburn 1885 Cognac,70,40,"4,000",Cognac
Camus Ile De Re Cliffside Cellar,70,40,89.45,Cognac
Camus Ile De Re Double Matured,70,40,61.95,Cognac
AE Dor No.3 Cognac,70,36,"8,000",Cognac
Hine Vieille Fine Champagne Cognac,70,40,"2,500",Cognac
Godet Petite Champagne 1970,70,40,535,Cognac
Jean Fillioux Coq Cognac,70,40,41.95,Cognac
J J Mortier 1875 Cognac,70,40,"4,000",Cognac
Louis Royer VSOP Cognac Glass Pack,70,40,44.95,Cognac
Tesseron XO Passion,70,40,172,Cognac
Drouet et Fils Paradis de Famille,70,42,145,Cognac
Prunier 1991,70,51.5,285,Cognac
Prunier 1989,70,46.9,295,Cognac
Prunier 1980,70,54.8,340,Cognac
Prunier 1977 Vintage,70,59.7,510,Cognac
Remy Martin VSOP Cognac,68,40,175,Cognac
Michel Forgeron Barrique 60 Grande Champagne Cognac,50,50,380,Cognac
Michel Forgeron Barrique 84 Grande Champagne Cognac,50,53,140,Cognac
Michel Forgeron Barrique 87 Grande Champagne Cognac,50,56,130,Cognac
Michel Forgeron Barrique 88 Grande Champagne Cognac,50,56,125,Cognac
Michel Forgeron Barrique 91 Grande Champagne Cognac,50,47,89.95,Cognac
Michel Forgeron VSOP Grande Champagne Cognac,70,43,63.25,Cognac
Remy Martin Louis XIII Cognac,70,40,"2,950",Cognac
