Product_name,Alcohol_amount,Alcohol_percent,Price,Category
Mortlach Rare Old,50,43.4,69.95,Scotch Whiskey
Lagavulin 12 Year Old,70,56.5,199,Scotch Whiskey
Caol Ila 15 Year Old Unpeated,70,59.1,99.95,Scotch Whiskey
Caol Ila 18 Year Old,70,59.8,140,Scotch Whiskey
Highland Park Fire 15 Year Old,70,45.2,199,Scotch Whiskey
Oc3 - Elements of Islay,50,60.3,120,Scotch Whiskey
Tomintoul Five Decades,70,50,320,Scotch Whiskey
Singleton of Dufftown 1985,70,52.3,275,Scotch Whiskey
Macallan 1990,70,43,500,Scotch Whiskey
Octomore 2002,70,46,250,Scotch Whiskey
Laphroaig 25 Year Old,70,48.9,550,Scotch Whiskey
Strathisla 1972,70,43,"1,200",Scotch Whiskey
Bowmore 26 Year Old Wine Cask,70,48.7,500,Scotch Whiskey
Glen Grant 1962,70,40,"1,600",Scotch Whiskey
Ma1 – Elements of Islay,50,54.2,150,Scotch Whiskey
Glenfarclas 8 Year Old '105',75,60,750,Scotch Whiskey
Glenmorangie 12 Year Old,70,40,250,Scotch Whiskey
Glenrothes 1988,70,43,350,Scotch Whiskey
The Speyside 8 Year Old,75,43,79.95,Scotch Whiskey
Brechin 1977,70,53.3,675,Scotch Whiskey
Glenrothes 1972,70,43,"1,350",Scotch Whiskey
Glen Ord 12 Year Old,70,43,250,Scotch Whiskey
Balvenie 10 Year Old,70,40,225,Scotch Whiskey
Springbank 1979,75,56.8,"3,000",Scotch Whiskey
Knockando 1966,75,43,450,Scotch Whiskey
Longmorn 1972,70,53.4,"1,750",Scotch Whiskey
Longmorn 1966,70,44.3,"1,750",Scotch Whiskey
Glenfiddich Pure Malt,75,40,150,Scotch Whiskey
Dalmore 12 Year Old,100,43,375,Scotch Whiskey
Bowmore 1972,70,46.7,"4,950",Scotch Whiskey
Dalwhinnie 15 Year Old,70,43,175,Scotch Whiskey
Laphroaig 27 Year Old,70,41.7,750,Scotch Whiskey
Macallan 36 Year Old,70,42.1,"3,000",Scotch Whiskey
Glen Grant 1950,70,40,"3,200",Scotch Whiskey
Strathisla 1957,70,43,"2,300",Scotch Whiskey
Glen Elgin 1998,70,54.8,250,Scotch Whiskey
Blair Athol 1993,70,58.4,375,Scotch Whiskey
Longmorn 1973,70,43,"1,000",Scotch Whiskey
Glenlivet 16 Year Old,70,58.6,199,Scotch Whiskey
Glen Grant 1955,70,40,"2,350",Scotch Whiskey
Ardbeg Kildalton,70,46,425,Scotch Whiskey
Strathisla 1965,70,43,"2,500",Scotch Whiskey
Tomintoul 8 Year Old,75,40,150,Scotch Whiskey
Bowmore Tempest 10 Year Old,70,55.9,140,Scotch Whiskey
Highland Park 1973,70,43,800,Scotch Whiskey
Strathisla 1969,70,43,"1,500",Scotch Whiskey
Glenlivet 1965,70,43,"1,000",Scotch Whiskey
Glenmorangie 10 Year Old,75,40,650,Scotch Whiskey
Royal Lochnagar,75,43,399,Scotch Whiskey
Isle of Jura 1965,70,45,550,Scotch Whiskey
Glen Elgin 1998,70,61.1,350,Scotch Whiskey
Tormore 10 Year Old,75,40,150,Scotch Whiskey
Scapa 16 Year Old,70,40,225,Scotch Whiskey
Glenmorangie 1981,70,46,"1,450",Scotch Whiskey
Dalmore 1992,100,40,500,Scotch Whiskey
Isle of Jura 10 Year Old,70,40,89.95,Scotch Whiskey
Isle of Jura 10 Year Old,75,40,175,Scotch Whiskey
Aultmore 12 Year Old,75,40,225,Scotch Whiskey
Tamdhu 16 Year Old,75,43,"1,200",Scotch Whiskey
Scapa 14 Year Old,70,40,250,Scotch Whiskey
Longmorn 15 Year Old,70,45,175,Scotch Whiskey
Glenury Royal 1968,70,51.2,"1,500",Scotch Whiskey
Glendronach 1972,70,48,"4,500",Scotch Whiskey
Glen Ord 28 Year Old,70,58.3,550,Scotch Whiskey
Glen Moray 12 Year Old,75,40,150,Scotch Whiskey
