Product_name,Alcohol_amount,Alcohol_percent,Price,Category
Cardhu 12 Year Old,75,40,175,Scotch Whiskey
Tomintoul 14 Year Old,75,40,150,Scotch Whiskey
SMWS 61.6 (Brora),75,60.3,"2,500",Scotch Whiskey
SMWS 9.22 (Glen Grant),75,59.6,550,Scotch Whiskey
Strathisla 12 Year Old,70,43,175,Scotch Whiskey
Dufftown 14 Year Old,70,56.2,299,Scotch Whiskey
Miltonduff-Glenlivet 1978,70,59.4,399,Scotch Whiskey
Glenburgie 1966,75,61.2,"1,750",Scotch Whiskey
Caol Ila 1980,70,54.6,"1,750",Scotch Whiskey
Talisker 1964,75,57,"7,500",Scotch Whiskey
Cardhu 12 Year Old,75,43,700,Scotch Whiskey
Bowmore 12 Year Old,75,43,750,Scotch Whiskey
Port Ellen 1979,70,58.8,"1,250",Scotch Whiskey
Bunnahabhain 20 Year Old,100,43,"4,000",Scotch Whiskey
Mortlach 12 Year Old,75,43.4,600,Scotch Whiskey
Cardhu 12 Year Old,100,43,225,Scotch Whiskey
Glenfiddich 10 Year Old,75.7,43,450,Scotch Whiskey
Glenfiddich 8 Year Old,75,43,"1,350",Scotch Whiskey
Glenfarclas 15 Year Old,75.7,46,700,Scotch Whiskey
Glenfarclas 12 Year Old,75,43,"1,500",Scotch Whiskey
Springbank 15 Year Old,75,46,"1,800",Scotch Whiskey
Highland Park 1955,75,54.6,"4,000",Scotch Whiskey
Caol Ila 1975,75,40,850,Scotch Whiskey
Port Ellen 1982,70,50,"1,800",Scotch Whiskey
Glen Moray '93,75,40,900,Scotch Whiskey
Lagavulin 16 Year Old,100,43,850,Scotch Whiskey
Old Fettercairn 1967,75,45,"1,000",Scotch Whiskey
Clynelish 1965,70,50.7,"10,000",Scotch Whiskey
Bowmore 1963,70,50,"12,500",Scotch Whiskey
Port Ellen 1977,70,59.7,"1,500",Scotch Whiskey
Linkwood,75,40,900,Scotch Whiskey
Springbank 8 Year Old,75,43,"1,500",Scotch Whiskey
Bunnahabhain 12 Year Old,70,43,225,Scotch Whiskey
Glenfiddich 8 Year Old,100,43,299,Scotch Whiskey
Highland Park 18 Year Old,75,43,650,Scotch Whiskey
Tomatin 1967,70,43,"1,000",Scotch Whiskey
Bruichladdich 1969,75,46,"2,000",Scotch Whiskey
Glenfarclas 15 Year Old,75,46,925,Scotch Whiskey
Port Ellen 12 Year Old,70,46,950,Scotch Whiskey
SMWS 9.5 (Glen Grant),70,61,450,Scotch Whiskey
Isle Of Jura 10 Year Old,100,43,235,Scotch Whiskey
Glen Grant 1953,70,45,"3,750",Scotch Whiskey
Strathisla 15 Year Old,75,57,"1,500",Scotch Whiskey
Glenrothes 1989,70,43,375,Scotch Whiskey
Bruichladdich 10 Year Old,70,40,225,Scotch Whiskey
Dalmore 12 Year Old,75,43,675,Scotch Whiskey
SMWS 4.1 (Highland Park),75,60.2,"3,500",Scotch Whiskey
Glen Grant 1967,75,43,"1,800",Scotch Whiskey
Glen Grant 1967,75,43,"1,750",Scotch Whiskey
Glenlivet 22 Year Old (Distilled 1974),75,43,"2,000",Scotch Whiskey
Springbank 1966,70,52.1,"7,000",Scotch Whiskey
Glenlivet 1974,70,43,500,Scotch Whiskey
"Macallan-Glenlivet ""As We Get It""",75,59,"6,000",Scotch Whiskey
Talisker Pure Malt Over 8 Year Old,75,45.7,"4,500",Scotch Whiskey
Braes Of Glenlivet 1979,75,59.2,900,Scotch Whiskey
Tullibardine 1964,75,48.7,"1,200",Scotch Whiskey
Glen Grant 1972,75,51.1,"1,750",Scotch Whiskey
Glenugie 1973,70,54.2,"1,000",Scotch Whiskey
Glenfarclas 1980,70,45.7,750,Scotch Whiskey
Glenrothes 1974,75,43,"1,500",Scotch Whiskey
Ardbeg 1978,70,40,"1,200",Scotch Whiskey
MacPhail's 1938,75,40,"5,000",Scotch Whiskey
Glenfarclas 1956,70,50,"4,500",Scotch Whiskey
Royal Brackla 1924,70,40,"20,000",Scotch Whiskey
Glen Grant 1970,75,50.1,"1,500",Scotch Whiskey
Glen Grant 1970,70,55.4,"1,500",Scotch Whiskey
Ardbeg 1979,70,63.2,"2,500",Scotch Whiskey
Highland Park 1979,70,51.7,700,Scotch Whiskey
Highland Park 1972,75,60,"1,350",Scotch Whiskey
Highland Park 1972,75,55.1,"1,350",Scotch Whiskey
Dalmore 1979,70,54.6,"4,500",Scotch Whiskey
Glen Grant 1974,70,49.8,800,Scotch Whiskey
Highland Park 1956,75,43,"3,000",Scotch Whiskey
Strathisla 1969,70,54.6,"1,750",Scotch Whiskey
Glen Grant 1969,70,53.9,"1,500",Scotch Whiskey
Glenlossie 1973,75,40,"1,000",Scotch Whiskey
Glen Grant 1967,70,52.5,"1,300",Scotch Whiskey
Strathisla 1967,70,54.3,"2,500",Scotch Whiskey
Knockando 1959,75,40,"1,000",Scotch Whiskey
SMWS 4.1 (Highland Park),75,60.2,"4,000",Scotch Whiskey
SMWS 30.25 (Glenrothes),70,50.6,"3,000",Scotch Whiskey
Highland Park 1966,75,43,"4,000",Scotch Whiskey
Knockando 1998,70,49,199,Scotch Whiskey
Laphroaig 10 Year Old,75,40,"6,500",Scotch Whiskey
Dalmore 1985,70,51.5,"2,500",Scotch Whiskey
Glen Grant 15 Year Old,75.7,57,700,Scotch Whiskey
Highland Park 1960,75,43,"2,750",Scotch Whiskey
Port Ellen 1983,70,58.1,"1,100",Scotch Whiskey
Old Fettercairn 1967,70,40,850,Scotch Whiskey
Glenrothes 8 Year Old,75.7,40,450,Scotch Whiskey
Ledaig-Tobermory 1972,75,40,"1,100",Scotch Whiskey
Cragganmore 1966,75,52.2,"2,250",Scotch Whiskey
Talisker 12 Year Old,75,43.4,"1,800",Scotch Whiskey
Glenlochy 1967,75,46,"2,500",Scotch Whiskey
Bowmore 1993,70,44,450,Scotch Whiskey
Glenlochy 1974,70,53.3,"1,200",Scotch Whiskey
Glenlochy 1965,70,46.8,"2,250",Scotch Whiskey
Glenury Royal 1953,70,42.8,"13,500",Scotch Whiskey
SMWS 4.7 (Highland Park),75,60.5,"1,000",Scotch Whiskey
Dalmore 1965 Set With Glass & Miniature,75,53.8,"3,750",Scotch Whiskey
Tullibardine 1964,70,51.2,"1,200",Scotch Whiskey
Longmorn 1969,70,56.7,"2,500",Scotch Whiskey
Ardbeg 15 Year Old & Laphroaig 10 Year Old,100,43,"1,300",Scotch Whiskey
Bruichladdich 27 Year Old,70,50.2,565,Scotch Whiskey
Ardbeg 26 Year Old,70,47.2,"1,250",Scotch Whiskey
Glenfarclas 1959,70,46,"4,000",Scotch Whiskey
Brora 1971,70,50,"6,000",Scotch Whiskey
Bowmore Bicentenary,75,43,"6,000",Scotch Whiskey
Balvenie 1966,70,42.1,"5,000",Scotch Whiskey
Balvenie 1967,70,49.7,"5,000",Scotch Whiskey
Dalmore 1985,70,51.5,"2,500",Scotch Whiskey
Port Ellen 1980,70,62,"1,500",Scotch Whiskey
Knockando 1965,75,43,550,Scotch Whiskey
Pride of Strathspey 1938,75,40,"6,000",Scotch Whiskey
Glenlivet 1954,75,46,"5,000",Scotch Whiskey
St Magdalene 1964,75,40,"1,600",Scotch Whiskey
Glenfarclas 1968,70,54.4,"6,000",Scotch Whiskey
Knockando 1979,100,43,299,Scotch Whiskey
Longmorn 1961,70,40.8,"15,000",Scotch Whiskey
Longmorn 1961,70,45,"15,000",Scotch Whiskey
Pride of Strathspey 1938,75,40,"6,000",Scotch Whiskey
Forties 1975,70,40,350,Scotch Whiskey
Laphroaig 1981,70,56.6,"7,000",Scotch Whiskey
Glendronach 1955,75,40,"2,000",Scotch Whiskey
Glenfiddich Special Reserve,75,43,"1,200",Scotch Whiskey
Mosstowie 17 Year Old,75,40,500,Scotch Whiskey
Glenury Royal 1971,70,61.3,"2,500",Scotch Whiskey
Knockando 1970,75,43,500,Scotch Whiskey
Balvenie 1967,70,49.7,"5,000",Scotch Whiskey
Glenury Royal 1971,75,61.3,"2,250",Scotch Whiskey
Glen Grant 7 Year Old,75,40,500,Scotch Whiskey
