Product_name,Alcohol_amount,Alcohol_percent,Price,Category
Taittinger Brut Reserve Champagne,75,12.5,48.95,Wine & Champagne
Laurent-Perrier Rose NV Champagne,75,12,58.95,Wine & Champagne
Perrier-Jouet Grand Brut Champagne,75,12,54.95,Wine & Champagne
Bollinger Special Cuvee NV Champagne,75,12,47.95,Wine & Champagne
Laurent-Perrier La Cuvee Brut NV Champagne,75,12,41.95,Wine & Champagne
Laurent-Perrier La Cuvee Brut NV Champagne,75,12,49.95,Wine & Champagne
Dom Perignon 2012 Vintage Champagne,75,12.5,180,Wine & Champagne
Laurent-Perrier Rose Champagne,75,12,88.95,Wine & Champagne
Bottega Gold Prosecco,75,11,21.75,Wine & Champagne
Gocce di Favola Prosecco Extra Dry NV,75,11,11.95,Wine & Champagne
Billecart-Salmon Brut Reserve Champagne,75,12,47.95,Wine & Champagne
Bollinger Rose Champagne,75,12,55.95,Wine & Champagne
Veuve Clicquot Yellow Label NV Champagne,75,12,48.95,Wine & Champagne
Pol Roger Reserve NV Champagne,75,12.5,44.95,Wine & Champagne
Louis Roederer Cristal Brut 2014,75,12,255,Wine & Champagne
Bollinger La Grande Annee 2014,75,12,115,Wine & Champagne
Bollinger Special Cuvee NV Champagne + 2 Glasses Pack,75,12,86.95,Wine & Champagne
Chapel Down Brut NV English Sparkling Wine,75,12,25.95,Wine & Champagne
Pierre Paillard Les Parcelles XVII Bouzy Grand Cru,75,12.5,35.95,Wine & Champagne
Mumm Cordon Rouge Champagne,75,12,35.95,Wine & Champagne
Billecart-Salmon Brut Rose NV Champagne,75,12.5,69.95,Wine & Champagne
Moet & Chandon Brut Imperial NV Champagne,75,12,42.95,Wine & Champagne
Chapel Down Kit's Coty Blanc de Blancs 2017,75,12,37.95,Wine & Champagne
Egly Ouriet Les Vignes de Vrigny 1er Cru Brut Champagne,75,12.5,62.25,Wine & Champagne
Charles Heidsieck Brut Reserve Champagne,75,12,48.95,Wine & Champagne
Gallimard Les Riceys Cuvee Reserve Champagne,75,12,29.25,Wine & Champagne
Domaine La Borderie De Quoi Te Mêles Tu? 2016 Champagne,75,12,56.95,Wine & Champagne
Billecart-Salmon Brut Rose NV Champagne,75,12.5,68.95,Wine & Champagne
Ca' Del Bosco Cuvee Prestige Franciacorta Edition 43,75,12.5,37.95,Wine & Champagne
Perrier-Jouët Grand Brut Champagne,75,12,47.45,Wine & Champagne
Gosset Grande Reserve Brut,75,12,47.95,Wine & Champagne
Moet & Chandon Rose Imperial NV Champagne,75,12,49.95,Wine & Champagne
Taittinger Vintage 2015 Champagne,75,12.5,57.95,Wine & Champagne
Palmer & Co Brut Reserve NV Champagne,75,12,39.45,Wine & Champagne
