Product_name,Alcohol_amount,Alcohol_percent,Price,Category
Cramele Recas Solara Orange Wine 2021,75,12.5,10.75,Wine & Champagne
St John Commandaria Cypriot Wine,50,15,12.95,Wine & Champagne
Biscarelle Chateauneuf Du Pape 2019,75,14.5,34.95,Wine & Champagne
Mezzogiorno Nero d'Avola 2019,75,13,7.45,Wine & Champagne
Black Elephant Rosé Rebel 2020,75,12.5,12.95,Wine & Champagne
Gaia 4-6 Agiorgitiko Rose 2021,75,12.5,13.95,Wine & Champagne
Altanza Rioja Crianza 2018,75,13.5,14.25,Wine & Champagne
Rioja Reserva Bodega Akutain 2015,75,14,24.95,Wine & Champagne
Chateau Micalet 2018,75,12.5,22.95,Wine & Champagne
Greywacke Sauvignon Blanc 2021,75,13.5,17.95,Wine & Champagne
Normanno Ciello Bianco 2020,75,12,8.25,Wine & Champagne
Classic France Wine Case,450,13.4,150,Wine & Champagne
Cabernet Sauvignon 'No es Pituko' Vina Echeverria 2021,75,13.5,12.25,Wine & Champagne
La Giaretta Amarone Valpolicella Classico 2017,75,16.5,34.95,Wine & Champagne
Chateau la Grave Figeac St Emilion Grand Cru 2016,150,13,79.95,Wine & Champagne
Odfjell Armador Carmenere 2019,75,13,12.45,Wine & Champagne
The Chocolate Block 2020,75,14.5,22.75,Wine & Champagne
Cramele Recas Solara Rose 2020,75,12.5,8.95,Wine & Champagne
Picpoul de Pinet Font-Mars 2021,75,13,12.95,Wine & Champagne
Terlan Quarz Sauvignon Blanc 2020,75,13.5,54.95,Wine & Champagne
Benegas Single Vineyard Malbec 2018,75,14.5,23.75,Wine & Champagne
Castello di Monsanto Chianti Classico 2019,75,14,26.95,Wine & Champagne
Castello di Tassarolo Gavi Spinola 2021,75,12.5,15.95,Wine & Champagne
Ca'di Ponti Grillo Sicily 2021,75,13.5,8.75,Wine & Champagne
Folc Rose 2020,75,11,17.95,Wine & Champagne
Barbera d'Alba Paulo Scavino 2018,75,14,16.95,Wine & Champagne
Catalans Blanc Les Chien Catalans 2020,75,12,8.75,Wine & Champagne
Massaya Le Colombier 2019,75,14.5,14.95,Wine & Champagne
Chardonnay Rebula Gasper 2019,75,13,10.75,Wine & Champagne
Smalltown Vineyards The Good Luck Club Cabernet Sauvignon 2020,75,14.5,16.95,Wine & Champagne
Isabel Sauvignon Blanc 2020,75,13,16.75,Wine & Champagne
Ortonese Sangiovese Merlot 2021,75,12.5,8.95,Wine & Champagne
Morgon Kewin Descombes 2020,75,13,26.95,Wine & Champagne
Terres Fideles Grenache Rose Felicette 2021,75,12.5,9.95,Wine & Champagne
Charles Melton Rose of Virginia 2021,75,12.5,26.95,Wine & Champagne
Poggiotondo Rosato delle Conchiglie 2021,75,12.5,18.95,Wine & Champagne
Les Petits Diables Rose 2021,75,12.5,14.95,Wine & Champagne
Lyrarakis Vidiano 2020,75,12.5,12.95,Wine & Champagne
Muscat de Beaumes de Venise 2019,75,15,19.95,Wine & Champagne
Murdoch Hill Sauvignon Blanc 2021,75,12,21.95,Wine & Champagne
Sauternes Lieutenant de Sigalas 2013,37.5,13,15.95,Wine & Champagne
Niepoort Nat'Cool Drink Me Branco 2021,100,11,19.95,Wine & Champagne
Domaine de Perreau Montravel Sec 2020,75,13,12.75,Wine & Champagne
Horst Sauer Escherndorfer Lump Silvaner Spatlese Trocken 2020,75,13,23.95,Wine & Champagne
Lionheart of the Barossa Shiraz 2019,75,14.5,13.95,Wine & Champagne
Marco Curto Barolo La Foia 2016,75,14.5,39.95,Wine & Champagne
Idaia Winery Vidiano 2020,75,12.5,15.95,Wine & Champagne
Ronco del Gnemiz Chardonnay,75,13,39.95,Wine & Champagne
Vinha do Mouro Tinto Estremoz 2017,75,14,13.25,Wine & Champagne
Saracco Moscato d'Asti 2021,75,5.5,15.95,Wine & Champagne
Chateau Lamarche Canon 2018,75,14.5,24.95,Wine & Champagne
Kilikanoon Prodigal Grenache 2018,75,14.5,18.95,Wine & Champagne
Ca' la Bionda Valpolicella Classico 2019,75,12.5,23.25,Wine & Champagne
Viognier 'No es Pituko' Vina Echeverria 2021,75,13,12.25,Wine & Champagne
Rancio Sec de Maccabeu Domaine de Rancy NV,50,17,25.95,Wine & Champagne
Lyrarakis Dafni Psarades Vineyard 2020,75,12,12.95,Wine & Champagne
Serbal Pinot Noir 2020,75,14,12.95,Wine & Champagne
Cabernet Sauvignon Reserva 2018,75,13.5,13.25,Wine & Champagne
Wild & Wilder The Exhibitionist Merlot 2019,75,14,10.95,Wine & Champagne
Tesselaarsdal Chardonnay 2020,75,13,29.25,Wine & Champagne
Beyra Reserva Quartz Branco 2019,75,13,15.95,Wine & Champagne
Duluc De Branaire-Ducru 2016,75,13.5,35.75,Wine & Champagne
Mano a Mano Bodegas Tempranillo 2017,75,14,12.75,Wine & Champagne
Cline Late Harvest Mourvedre 2017,37.5,14.5,20.95,Wine & Champagne
Inniskillin 2018 Sparkling Vidal Icewine,37.5,9.5,57.95,Wine & Champagne
Ventoux 974 Chateau Pesquie 2017,75,14.5,12.75,Wine & Champagne
Recoleta Criolla Tinto Mauricio Lorca 2019,75,13.5,11.25,Wine & Champagne
Tokaji Aszu 5 Puttonyos 2013,50,11.5,46.75,Wine & Champagne
Gevrey Chambertin Domaine Taupenot-Merme 2016,75,13,54.95,Wine & Champagne
Fleurie La Madone Jean-Claude Chanudet 2015,75,13.5,24.95,Wine & Champagne
Framingham Classic Riesling 2020,75,12.5,13.45,Wine & Champagne
Vinos Más Buscados Te Queiro White Field Blend 2020,75,12,7.95,Wine & Champagne
Bat Gara Txakoli Uno 2018,75,13,12.75,Wine & Champagne
La Belle Etoile Rose Celestiale 2021,75,12,9.95,Wine & Champagne
Muscadet Symbiose 2020,75,12,15.95,Wine & Champagne
Costadune Zibibbo Secco Mandarossa 2021,75,12,12.75,Wine & Champagne
Lagar De Costa Albarino 2021,75,12.5,16.95,Wine & Champagne
A Mano Rosato 2021,75,12,12.75,Wine & Champagne
Tragolargo Monastrell Casa Balaguer 2020,75,14,12.25,Wine & Champagne
Samurai Shiraz 2020,75,14,9.95,Wine & Champagne
Larry Cherubino Pinot Noir 'Ad Hoc Cruel Mistress' 2020,75,13,15.95,Wine & Champagne
Altos Las Hormigas Malbec Terroir 2018,75,13.5,16.95,Wine & Champagne
Moulin de Gassac Classic Blanc Mas de Daumas 2020,75,12,9.25,Wine & Champagne
M de Minuty Rose 2020,75,13,16.25,Wine & Champagne
Salcheto Chianti Biskero 2020,75,13,12.95,Wine & Champagne
Le Petite Syrah Domaine Mas Montel 2020,75,13.5,9.75,Wine & Champagne
Chateau Cru Godard 2019,75,14.5,16.75,Wine & Champagne
Mezzogiorno Nero d'Avola 2020,75,13,8.25,Wine & Champagne
Vino Lauria Frappato 2020,75,13,14.95,Wine & Champagne
Sylvaner Pierres Rouges Domaine Leon Boesch 2020,75,11.5,16.75,Wine & Champagne
