Product_name,Alcohol_amount,Alcohol_percent,Price,Category
Castello Romitorio Brunello di Montalcino 2017,75,14.5,59.95,Wine & Champagne
Castello di Ama L'Apparita Merlot 2014,75,13,295,Wine & Champagne
Castello di Ama Chianti Classico Bellavista 2007,75,13.5,225,Wine & Champagne
Castello di Ama Chianti Classico Bellavista 2011,75,13.5,225,Wine & Champagne
Castello di Ama Chianti Classico La Casuccia 2011,75,13.5,225,Wine & Champagne
Castello di Ama Chianti Classico La Casuccia 2015,75,13.5,225,Wine & Champagne
Le Champ d'Orphee 2018 IGP Cotes du Tarn,75,13.5,24.95,Wine & Champagne
Cape Mentelle Sauvignon Blanc Semillon 2021,75,12.3,15.95,Wine & Champagne
Testalonga El Bandito Cortez Chenin Blanc 2021,75,12,26.95,Wine & Champagne
Hermitage Blanc Les Rocules Laurent Habrard 2017,75,14,59.95,Wine & Champagne
Crozes Hermitage Rouge Sans Souffre Ajoute Laurent Habrard 2019,75,14,25.95,Wine & Champagne
Ministry of Clouds Chardonnay 2020,75,12.9,37.75,Wine & Champagne
Sharpham Dart Valley Reserve 2020,75,11,15.95,Wine & Champagne
Casa Maria Verdejo Blanco La Catellana 2020,75,13,7.95,Wine & Champagne
Beaujolais Village Domaine Andre Colonge 2020,37.5,14.5,7.95,Wine & Champagne
Pegasus Bay Pinot Noir 2019,75,14,33.45,Wine & Champagne
Pacherenc Larmes Celestes Alain Brumont 2017,50,12.5,16.95,Wine & Champagne
Coteaux de L'Aubance Trois Schistes 2018,50,10,19.95,Wine & Champagne
Muscat Beaumes de Venise Hommage Domaine de Bernardins NV,50,15,26.95,Wine & Champagne
Gevrey Chambertin 2018 David Duband,75,13,74.95,Wine & Champagne
Keith Tulloch Semillon 2019,75,10.5,16.95,Wine & Champagne
Gasper Chardonnay Rebula 2020,75,12.5,11.95,Wine & Champagne
Framingham Classic Riesling 2021,75,12,14.95,Wine & Champagne
Sepp Moser Fundamental Gruner Veltliner 2019,75,13,21.25,Wine & Champagne
Yeringberg Roussanne Marsanne 2017,75,12.5,29.95,Wine & Champagne
Bruno Rocca Barbaresco 2019,75,14,59.95,Wine & Champagne
Three Lions Great Southern Chardonnay 2021,75,13,13.95,Wine & Champagne
Restless River Cabernet Sauvignon 2018,75,14.5,54.95,Wine & Champagne
Brokenwood Hunter Valley Semillon 2020,75,11,21.75,Wine & Champagne
Anteprima Tonda Antonelli 2018,75,13.5,27.95,Wine & Champagne
Primosic Refosco 2018,75,13,14.95,Wine & Champagne
Tempa di Zoe Aglianico Diciotto 2018,75,14.5,19.95,Wine & Champagne
Castello Romitorio RomiToro IGT 2019,75,14,19.95,Wine & Champagne
Poggio Argentiera Cabernet Franc 2017,75,15,29.95,Wine & Champagne
