name,location,property,price,bedrooms,bathrooms,Pool,link
LG Smith 4 Story commercial office building,Noord,Active,"$7,600,000",,,,https://www.coldwellbanker.aw/listing-lg-smith-4-story-commercial-office-building-1627.html
Commercial Complex With GREAT LOCATION!,Oranjestad,Active,"$5,589,888",,,,https://www.coldwellbanker.aw/listing-commercial-complex-with-great-location%21-1485.html
Former Bank with retail and office space.,Noord,Active,"$2,995,000",,,,https://www.coldwellbanker.aw/listing-former-bank-with-retail-and-office-space.-1570.html
LG Smith One story commercial building,Noord,Active,"$2,820,000",,,,https://www.coldwellbanker.aw/listing-lg-smith-one-story-commercial-building-1628.html
Majestic Tierra Del Sol Estate,Golf Course,Active,"$2,750,000",8,8,,https://www.coldwellbanker.aw/listing-majestic-tierra-del-sol-estate-1369.html
"OCCUPY, DEVELOP, INVEST ",Oranjestad,Active,"$2,584,270",,,,https://www.coldwellbanker.aw/listing-occupy%2C-develop%2C-invest--1664.html
Ocean front Villa in Malmok across from the beach.,Noord,Active,"$2,500,000",5,"5,5",,https://www.coldwellbanker.aw/listing-ocean-front-villa-in-malmok-across-from-the-beach.-1684.html
Beautiful Iconic building in mainstreet Oranjestad,Oranjestad,Active,"$2,445,000",,,,https://www.coldwellbanker.aw/listing-beautiful-iconic-building-in-mainstreet-oranjestad-1631.html
Large commercial property for sale with parking  ,Noord,Active,"$2,400,000",,,,https://www.coldwellbanker.aw/listing-large-commercial-property-for-sale-with-parking---1643.html
Paraguana Property Land,Noord,Active,"$2,380,450",,,,https://www.coldwellbanker.aw/listing-paraguana-property-land-1324.html
Commercial Building - HAVENSTRAAT,Oranjestad,Active,"$1,995,000",,,,https://www.coldwellbanker.aw/listing-commercial-building---havenstraat-1634.html
Large parcel next to airport.,Oranjestad,Active,"$1,820,000",,,,https://www.coldwellbanker.aw/listing-large-parcel-next-to-airport.-1632.html
LG Smith Large commercial building,Noord,Active,"$1,142,456",,,,https://www.coldwellbanker.aw/listing-lg-smith-large-commercial-building-1629.html
VILLA SOPHIE_ESMERALDA,Ocean,Active,"$1,100,000",4,4,,https://www.coldwellbanker.aw/listing-villa-sophie_esmeralda-1673.html
San Miguel Villa,Ocean,Active,"$1,038,000",4,2,,https://www.coldwellbanker.aw/listing-san-miguel-villa-1638.html
ATLANTIC 360 Residence,Noord,Active,"$954,666",1,Noord,,https://www.coldwellbanker.aw/listing-atlantic-360-residence-1671.html
Land in Sabana Grandi,Country side,Active,"$898,877",,,,https://www.coldwellbanker.aw/listing-land-in-sabana-grandi-924.html
Beautiful 3/3 ground floor condo in Blue Residences.,3,Active,"$890,000",3,3,,https://www.coldwellbanker.aw/listing-beautiful-33-ground-floor-condo-in-blue-residences.-1568.html
O-Condominium Eagle Beach,Noord,Active,"$888,300",,,,https://www.coldwellbanker.aw/listing-o-condominium-eagle-beach-957.html
Second Commercial Building in Down Town Oranjestad,Oranjestad,Active,"$831,460",1,Oranjestad,,https://www.coldwellbanker.aw/listing-second-commercial-building-in-down-town-oranjestad-1486.html
SPECIAL PRICE! Land In Avenida Milo Croes + Building,Oranjestad,Active,"$819,214",,,,https://www.coldwellbanker.aw/listing-special-price%21-land-in-avenida-milo-croes-%2B-building-1180.html
Bubali Villa Park Opportunity !,"4,5",Sold,"$799,900",5,"4,5",,https://www.coldwellbanker.aw/listing-bubali-villa-park-opportunity-%21-1652.html
Amazing ocean view condo,Noord,Active,"$650,000",2,2,,https://www.coldwellbanker.aw/listing-amazing-ocean-view-condo-1683.html
Apartment Complex ,Town,Active,"$650,000",10,10,,https://www.coldwellbanker.aw/listing-apartment-complex--1682.html
Palma Real 4 Bedroom Townhome,3,Sale in Progress,"$649,900",2,3,,https://www.coldwellbanker.aw/listing-palma-real-4-bedroom-townhome-1648.html
Bubali Garden Homes,Noord,Active,"$649,000",,,,https://www.coldwellbanker.aw/listing-bubali-garden-homes-1674.html
Bubali Garden Homes ,Noord,Active,"$649,000",1,Noord,,https://www.coldwellbanker.aw/listing-bubali-garden-homes--1681.html
Coral Shell Condominiums Aruba,Oranjestad,Active,"$620,000",,,,https://www.coldwellbanker.aw/listing-coral-shell-condominiums-aruba-1312.html
Commercial Building on Main Street Oranjestad.,Oranjestad,Active,"$610,674",1 floor,Oranjestad,,https://www.coldwellbanker.aw/listing-commercial-building-on-main-street-oranjestad.-1450.html
Tierra Del Sol Luxury Villa,Gated Community,Sold,"$595,000",3,3,,https://www.coldwellbanker.aw/listing-tierra-del-sol-luxury-villa-1542.html
Pearl Unit 26,Noord,Active,"$369,900",1,Noord,,https://www.coldwellbanker.aw/listing-pearl-unit-26-1672.html
Diamante 36 ,2,Sale in Progress,"$369,900",2,2,,https://www.coldwellbanker.aw/listing-diamante-36--1675.html
Commercial building in the main street of San Nicolas.,San Nicolas,Active,"$336,516",1,San Nicolas,,https://www.coldwellbanker.aw/listing-commercial-building-in-the-main-street-of-san-nicolas.-1530.html
Aracari Residences,Noord,Active,"$286,277",2,2,,https://www.coldwellbanker.aw/listing-aracari-residences-1433.html
Andicuri Condos – Gold Coast,Noord,Active,"$275,000",1,1,,https://www.coldwellbanker.aw/listing-andicuri-condos-%C2%96-gold-coast-1524.html
Large family home in Tanki Leendert. ,1,Active,"$261,235","4,5",1,,https://www.coldwellbanker.aw/listing-large-family-home-in-tanki-leendert.--1660.html
Commcial bulding B v/d Veen Zeppenfeldtstraat ,San Nicolas,Active,"$220,000",,,,https://www.coldwellbanker.aw/listing-commcial-bulding-b-vd-veen-zeppenfeldtstraat--1642.html
Offices for rent,Town,Active,"$5,056",,,,https://www.coldwellbanker.aw/listing-offices-for-rent-1586.html
Long term Rental Malmok,2,Rented,"$2,600",2,2,,https://www.coldwellbanker.aw/listing-long-term-rental-malmok-1625.html
Paradera Rental Home,Paradera,Rented,"$2,000",,,,https://www.coldwellbanker.aw/listing-paradera-rental-home-1403.html
