index,name,price,location,property_status,property_type,bedrooms,bathrooms,Pool,link
0,Matadera,RENTED,Matadera,,Residential,2,1,Garden,https://century21aruba.com//en/d/matadera-home-for-rent-aruba-1149410
2,Fuerte,RENTED,Paradera,,Residential,3,2,Garden,https://century21aruba.com//en/d/fuerte-home-for-rent-aruba-1148990
4,Fuerte 61,"US$ 1,320",Paradera,Under Contract,Residential,3,2,Garden,https://century21aruba.com//en/d/fuerte-61-home-for-rent-aruba-1149884
6,Kudawecha,RENTED,Kudawecha,,Residential,3,2,Garden,https://century21aruba.com//en/d/kudawecha-home-for-rent-aruba-1148947
9,Paradera 115 - T,RENTED,Bloemond,,Residential,2,2,Garden,https://century21aruba.com//en/d/paradera-115-t-home-for-rent-aruba-1148967
11,Monte Verde 21,RENTED,Hooiberg,,Residential,3,2,Garden,https://century21aruba.com//en/d/monte-verde-21-home-for-rent-aruba-1148764
13,Macuarima,RENTED,Macuarima,,Residential,3,2&half,Garden,https://century21aruba.com//en/d/macuarima-home-for-rent-aruba-1148774
15,Nuñe,RENTED,Paradera,,Residential,3,2,Garden,https://century21aruba.com//en/d/nune-home-for-rent-aruba-1149327
17,Pavia 29 - A,"US$ 1,601",Piedra,New Listing,Residential,3,2,Garden,https://century21aruba.com//en/d/pavia-29-a-home-for-rent-aruba-1149998
19,Quillstraat 36,RENTED,Esso,,Residential,3,2,Garden,https://century21aruba.com//en/d/quillstraat-36-home-for-rent-aruba-1148844
21,Washington,RENTED,Washington,,Residential,2,2,Pool,https://century21aruba.com//en/d/washington-home-for-rent-aruba-1149160
23,Calabas,RENTED,Calbas,,Residential,2,3,Panoramic,https://century21aruba.com//en/d/calabas-home-for-rent-aruba-1149537
25,San Barbola 279,RENTED,San,,Residential,3,2,Pool,https://century21aruba.com//en/d/san-barbola-279-home-for-rent-aruba-1148777
27,Washington Gardens,RENTED,Washington,,Residential,3,2,Pool,https://century21aruba.com//en/d/washington-gardens-home-for-rent-aruba-1148249
