level_0,index,name,location,property_status,property_type,price,bedrooms,bathrooms,Pool,link
0,0,Matadera,Matadera,,Residential,RENTED,2,1,Garden,https://century21aruba.com//en/d/matadera-home-for-rent-aruba-1149410
1,2,Fuerte,Paradera,,Residential,RENTED,3,2,Garden,https://century21aruba.com//en/d/fuerte-home-for-rent-aruba-1148990
2,4,Fuerte 61,Paradera,Under Contract,Residential,"US$ 1,320",3,2,Garden,https://century21aruba.com//en/d/fuerte-61-home-for-rent-aruba-1149884
3,6,Kudawecha,Kudawecha,,Residential,RENTED,3,2,Garden,https://century21aruba.com//en/d/kudawecha-home-for-rent-aruba-1148947
4,8,Paradera 115 - T,Bloemond,,Residential,RENTED,2,2,Garden,https://century21aruba.com//en/d/paradera-115-t-home-for-rent-aruba-1148967
5,10,Monte Verde 21,Hooiberg,,Residential,RENTED,3,2,Garden,https://century21aruba.com//en/d/monte-verde-21-home-for-rent-aruba-1148764
6,12,Macuarima,Macuarima,,Residential,RENTED,3,2&half,Garden,https://century21aruba.com//en/d/macuarima-home-for-rent-aruba-1148774
7,14,Nuñe,Paradera,,Residential,RENTED,3,2,Garden,https://century21aruba.com//en/d/nune-home-for-rent-aruba-1149327
8,16,Pavia 29 - A,Piedra,New Listing,Residential,"US$ 1,601",3,2,Garden,https://century21aruba.com//en/d/pavia-29-a-home-for-rent-aruba-1149998
9,18,Quillstraat 36,Esso,,Residential,RENTED,3,2,Garden,https://century21aruba.com//en/d/quillstraat-36-home-for-rent-aruba-1148844
10,20,Washington,Washington,,Residential,RENTED,2,2,Pool,https://century21aruba.com//en/d/washington-home-for-rent-aruba-1149160
11,22,Calabas,Calbas,,Residential,RENTED,2,3,Panoramic,https://century21aruba.com//en/d/calabas-home-for-rent-aruba-1149537
12,24,San Barbola 279,San,,Residential,RENTED,3,2,Pool,https://century21aruba.com//en/d/san-barbola-279-home-for-rent-aruba-1148777
13,26,Washington Gardens,Washington,,Residential,RENTED,3,2,Pool,https://century21aruba.com//en/d/washington-gardens-home-for-rent-aruba-1148249
14,28,Paradera 225,Paradera,,Residential,RENTED,5,3,Pool,https://century21aruba.com//en/d/paradera-225-home-for-rent-aruba-1148744
15,30,Beatrixstraat,Paradera,,Residential,RENTED,5,3,Pool,https://century21aruba.com//en/d/beatrixstraat-home-for-rent-aruba-1149315
16,32,Mesavista Tierra Del Sol Villa,Westpunt,,Residential,RENTED,4,4,Pool,https://century21aruba.com//en/d/mesavista-tierra-del-sol-villa-home-for-rent-aruba-1149186
17,35,Tanki Flip Property Land,Tanki,New Listing,Residential,"US$ 63,144",4,4,Inland,https://century21aruba.com//en/d/tanki-flip-property-land-for-sale-aruba-1149949
18,37,Modanza Homes & Gardens Property Land,Tanki,New Listing,Residential,"US$ 64,400",4,4,Inland,https://century21aruba.com//en/d/modanza-homes-gardens-property-land-for-sale-aruba-1149862
19,39,Tamarijn Homes And Gardens,Tanki,,Residential,"US$ 64,400",4,4,Inland,https://century21aruba.com//en/d/tamarijn-homes-and-gardens-land-for-sale-aruba-1145275
20,41,Napa Valley Residences Property Land,Tanki,New Listing,Residential,"US$ 99,600",4,4,Inland,https://century21aruba.com//en/d/napa-valley-residences-property-land-for-sale-aruba-1149861
21,43,Wayaca Property Land,Wayaca,Under Contract,Residential,"US$ 105,618",4,4,Other,https://century21aruba.com//en/d/wayaca-property-land-for-sale-aruba-1148092
22,45,Zumbo Property Land,Cashero,New Listing,Residential,"US$ 107,334",4,4,Inland,https://century21aruba.com//en/d/zumbo-property-land-for-sale-aruba-1149997
23,47,Emmastraat Property Land,Ponton,,Residential,SOLD,4,4,Inland,https://century21aruba.com//en/d/emmastraat-property-land-for-sale-aruba-1149481
24,49,Rooi Santo Land,Rooi,Under Contract,Residential,"US$ 126,405",4,4,Inland,https://century21aruba.com//en/d/rooi-santo-land-for-sale-aruba-1147517
25,51,Golfweg,Rooi,,Residential,"US$ 126,405",4,4,Inland,https://century21aruba.com//en/d/golfweg-land-for-sale-aruba-1149144
26,53,Paradera Property Land,Rooi,,Residential,"US$ 126,405",4,4,Inland,https://century21aruba.com//en/d/paradera-property-land-for-sale-aruba-1149163
