name,location,property_status,property_type,price,bedrooms,bathrooms,Pool,Latitude,Longitude,link
CASA Distinct,Malmok Catalina 14,,,"2,500,000",5,4.5,Pool,12.607879575927376,"-70.04399573409921
                ",https://aruba-realty.com/property/details/casa-distinct
Casa Coral Pyramid Penthouse,Oranjestad,Sold,"
                                    Houses for Sale
                                ","2,500,000",4,5,Pool,12.514584127517502,"-70.033214386726
                ",https://aruba-realty.com/property/details/casa-coral-pyramid
Casa Coral Shell 3-CD,Oranjestad,New Listing,"
                                    Houses for Sale
                                ","2,049,111",4,4,Pool,12.513998896105523,"-70.03220989944992
                ",https://aruba-realty.com/property/details/casa-coral-shell-gf-c-1-1-4
Casa Coral Shell GF-C,Oranjestad,New Listing,"
                                    Houses for Sale
                                ","1,973,111",3,3.5,Pool,12.513998896105523,"-70.03220989944992
                ",https://aruba-realty.com/property/details/casa-coral-shell-gf-b-1-2-2
CASA Atlantis Model H-I,Eagle Beach,New Listing,"
                                    Houses for Sale
                                ","1,800,000",5,5.5,Pool,12.553199919116985,"-70.05413964035569
                ",https://aruba-realty.com/property/details/casa-atlantic-360c-apartment-a-3-3-3-3
CASA Atlantis Penthouses,Eagle Beach,New Listing,"
                                    Houses for Sale
                                ","1,800,000",5,5.5,Pool,12.553199919116985,"-70.05413964035569
                ",https://aruba-realty.com/property/details/casa-atlantic-360c-apartment-a-3-3-3-3-3
CASA Blue Residence Penthouse PH 3-6,Eagle Beach Eagle Beach Aruba,,,"1,585,750",5,6,Pool,12.561412619756899,"-70.05383686400148
                ",https://aruba-realty.com/property/details/casa-blue-tower-penthouse-3-2-3-2
Casa Coral Shell 1-E/2-E LOFT,Oranjestad,New Listing,"
                                    Houses for Sale
                                ","1,398,400",2,4,Pool,12.513998896105523,"-70.03220989944992
                ",https://aruba-realty.com/property/details/casa-coral-shell-gf-c-1-1-2-2
CASA Atlantis Model D,Eagle Beach,New Listing,"
                                    Houses for Sale
                                ","1,329,780",3,3.5,Pool,12.553199919116985,"-70.05413964035569
                ",https://aruba-realty.com/property/details/casa-atlantic-360c-apartment-a-3-3-3
CASA Blue Residence Penthouse PH 1-2,Eagle Beach Eagle Beach Aruba,,,"1,255,000",3,4,Pool,12.561412619756899,"-70.05383686400148
                ",https://aruba-realty.com/property/details/casa-blue-tower-penthouse-3-2-3-2-3
CASA Blue Residence Penthouse TH-4,Eagle Beach Eagle Beach Aruba,,,"1,179,650",4,4,Pool,12.561412619756899,"-70.05383686400148
                ",https://aruba-realty.com/property/details/casa-blue-tower-penthouse-3-2-2
CASA Noble,Noord Seroe Janchi 31,,,"1,150,000",9,4.5,Pool,12.551275615928267,"-70.0197778606659
                ",https://aruba-realty.com/property/details/casa-noble
Casa Corazón de La Villa Sol,Esmeralda,New Listing,"
                                    Houses for Sale
                                ","1,100,000",4,3.5,Pool,12.596988976333375,"-70.04020020010529
                ",https://aruba-realty.com/property/details/casa-corazon-de-la-villa-sol
CASA Atlantis Model C,Eagle Beach,New Listing,"
                                    Houses for Sale
                                ","1,092,185",3,3.5,Pool,12.553199919116985,"-70.05413964035569
                ",https://aruba-realty.com/property/details/casa-atlantic-360c-apartment-a-3-3
CASA Atlantis Model B,Eagle Beach,New Listing,"
                                    Houses for Sale
                                ","1,061,715",3,3.5,Pool,12.553199919116985,"-70.05413964035569
                ",https://aruba-realty.com/property/details/casa-atlantic-360c-apartment-a-3
CASA Oceania unit 124,Eagle Beach,New Listing,"
                                    Houses for Sale
                                ","1,058,400",,,,,,https://aruba-realty.com/property/details/casa-oceania-unit-124-2
CASA Atlantis Model A,Eagle Beach,New Listing,"
                                    Houses for Sale
                                ","960,705",3,3.5,Pool,12.553199919116985,"-70.05413964035569
                ",https://aruba-realty.com/property/details/casa-atlantic-360c-apartment-a
Casa Coral Shell GF-B,Oranjestad,New Listing,"
                                    Houses for Sale
                                ","935,611",2,2.5,Pool,12.513998896105523,"-70.03220989944992
                ",https://aruba-realty.com/property/details/casa-coral-shell-gf-b-1-3
CASA Fantastical,Noord Opal,New Listing,"
                                    Houses for Sale
                                ","875,000",4,3.5,Pool,12.58928775357532,"-70.04045232775269
                ",https://aruba-realty.com/property/details/casa-fantastical
CASA Caribbean Deluxe,Oranjestad,New,"
                                    Houses for Sale
                                ","875,000",2,2,Pool,12.513839168286088,"-70.03231182339249
                ",https://aruba-realty.com/property/details/casa-caribbean-deluxe
CASA To The Moon & Back,Tarabana,New Listing,"
                                    Houses for Sale
                                ","855,000",6,5,Pool,12.522296751286154,"-70.02123698237
                ",https://aruba-realty.com/property/details/casa-to-the-moon-back
CASA Royalty,Paradera Modanza 15-B,New Listing,"
                                    Houses for Sale
                                ","850,000",4,3,Pool,12.5347933,"-70.013834
                ",https://aruba-realty.com/property/details/casa-royalty-2
CASA Harbor View,Oranjestad,New Listing,"
                                    Houses for Sale
                                ","850,000",2,2,Pool,12.519495043968215,"-70.04044159891663
                ",https://aruba-realty.com/property/details/casa-harbor-view-2
CASA Tropical Escape,Bakval,New Listing,"
                                    Houses for Sale
                                ","849,000",4,2,Pool,12.583225037603416,"-70.04021629335938
                ",https://aruba-realty.com/property/details/casa-tropical-escape
CASA Blue Residence unit 221,Eagle Beach Eagle Beach Aruba,New Listing,"
                                    Houses for Sale
                                ","826,500",3,3,Pool,12.561161291039042,"-70.05332187987062
                ",https://aruba-realty.com/property/details/casa-blue-tower-%20221-2-2-2
Casa Coral Shell 2-F,Oranjestad,New Listing,"
                                    Houses for Sale
                                ","816,333",2,2,Pool,12.513998896105523,"-70.03220989944992
                ",https://aruba-realty.com/property/details/casa-coral-shell-gf-c-1-1-3-2-2-2
Casa Tera Grandi,St. Cruz Sabana Grandi 13-b,Sold,"
                                    Houses for Sale
                                ","797,753",,,,,,https://aruba-realty.com/property/details/casa-tera-grandi
CASA Blue Residence unit 121,Eagle Beach Eagle Beach Aruba,New Listing,"
                                    Houses for Sale
                                ","795,300",3,3,Pool,12.561161291039042,"-70.05332187987062
                ",https://aruba-realty.com/property/details/casa-blue-tower-%20115-2-2-3
CASA Majestic,San Fuego San Fuego 28-S,,,"775,000",4,2,Pool,12.504763323649456,"-69.95653137209473
                ",https://aruba-realty.com/property/details/casa-majestic
CASA Just Right,Arikok area San Fuego,Sold,"
                                    Houses for Sale
                                ","775,000",4,2.5,Pool,12.504679529022132,"-69.95666011812745
                ",https://aruba-realty.com/property/details/casa-just-right
CASA Aruban Sunset,San Fuego,New,"
                                    Houses for Sale
                                ","769,000",,,,,,https://aruba-realty.com/property/details/san-fuego-28-a
CASA Tamarijn,Tamarijn,Sold,"
                                    Houses for Sale
                                ","650,000",4,2,Pool,12.538121898456021,"-69.99440416338501
                ",https://aruba-realty.com/property/details/casa-tamarijn
