name,location,property,property_lot_size,property_living_size,price,bedrooms,bathrooms,Pool,link
La Colina - TIERRA DEL SOL,"La Colina 11, Aruba",For Sale,"13,810
sq.ft","7,298sq.ft","$3,000,000",6,6,,https://boldrealestatearuba.com//properties/la-colina-tierra-del-sol
Villa Bella Luna ,"Calabas 33-E, Aruba",For Sale,"7,427
sq.ft","2,368sq.ft","$1,371,200",3,3,,https://boldrealestatearuba.com//properties/villa-bella-luna
Lux Esmeralda,Lux Esmeralda,For Sale,"12,626
sq.ft","3,315sq.ft","$1,100,000",4,4,,https://boldrealestatearuba.com//properties/lux-esmeralda
Lux Esmeralda,Lux Esmeralda,For Sale,"12,626
sq.ft","3,315sq.ft","$1,100,000",4,4,,https://boldrealestatearuba.com//properties/seroe-janchi
The Multi- Space Office,"Barcadera 134, Aruba",For Rent,"12,626
sq.ft","3,315sq.ft",,For Rent,,,https://boldrealestatearuba.com//properties/the-multi-space-office
Diamante 182 A (RENTED),"Diamante 182 A, Noord, Aruba",For Rent,"12,626
sq.ft","3,315sq.ft",,2,,,https://boldrealestatearuba.com//properties/diamante-182-a
Gold Coast 138D (RENTED),"Gold Coast 138 D, Aruba",For Rent,"12,626
sq.ft","3,315sq.ft",,2,,,https://boldrealestatearuba.com//properties/gold-coast-138d
Gold Coast 138D (RENTED),"Gold Coast 138 D, Aruba",For Rent,"12,626
sq.ft","3,315sq.ft",,2,,,https://boldrealestatearuba.com//properties/harbour-penthouse
Gold Coast 138D (RENTED),"Gold Coast 138 D, Aruba",For Rent,"12,626
sq.ft","3,315sq.ft",,2,,,https://boldrealestatearuba.com//properties/central-luxury-living-apartment-2
Gold Coast 138D (RENTED),"Gold Coast 138 D, Aruba",For Rent,"12,626
sq.ft","3,315sq.ft",,2,,,https://boldrealestatearuba.com//properties/atlantic-360-residences-2
Gold Coast 138D (RENTED),"Gold Coast 138 D, Aruba",For Rent,"12,626
sq.ft","3,315sq.ft",,2,,,https://boldrealestatearuba.com//properties/beauty-in-nature
Gold Coast 138D (RENTED),"Gold Coast 138 D, Aruba",For Rent,"12,626
sq.ft","3,315sq.ft",,2,,,https://boldrealestatearuba.com//properties/seroe-janchi
Gold Coast 138D (RENTED),"Gold Coast 138 D, Aruba",For Rent,"12,626
sq.ft","3,315sq.ft",,2,,,https://boldrealestatearuba.com//properties/property-land-bonaire
Gold Coast 138D (RENTED),"Gold Coast 138 D, Aruba",For Rent,"12,626
sq.ft","3,315sq.ft",,2,,,https://boldrealestatearuba.com//properties/property-land-catashi
Gold Coast 138D (RENTED),"Gold Coast 138 D, Aruba",For Rent,"12,626
sq.ft","3,315sq.ft",,2,,,https://boldrealestatearuba.com//properties/palm-beach-88-c
Gold Coast 138D (RENTED),"Gold Coast 138 D, Aruba",For Rent,"12,626
sq.ft","3,315sq.ft",,2,,,https://boldrealestatearuba.com//properties/paradera-87h
Gold Coast 138D (RENTED),"Gold Coast 138 D, Aruba",For Rent,"12,626
sq.ft","3,315sq.ft",,2,,,https://boldrealestatearuba.com/properties/alto-vista-32
Gold Coast 138D (RENTED),"Gold Coast 138 D, Aruba",For Rent,"12,626
sq.ft","3,315sq.ft",,2,,,https://boldrealestatearuba.com/properties/paradera-87h
Gold Coast 138D (RENTED),"Gold Coast 138 D, Aruba",For Rent,"12,626
sq.ft","3,315sq.ft",,2,,,https://boldrealestatearuba.com/properties/cudi-65
Gold Coast 138D (RENTED),"Gold Coast 138 D, Aruba",For Rent,"12,626
sq.ft","3,315sq.ft",,2,,,https://boldrealestatearuba.com/properties/centrally-located
Gold Coast 138D (RENTED),"Gold Coast 138 D, Aruba",For Rent,"12,626
sq.ft","3,315sq.ft",,2,,,https://boldrealestatearuba.com/properties/bella-vista-residence
Blue Residence,Blue Residence,For Sale,"12,626
sq.ft","3,315sq.ft",,2,,,https://boldrealestatearuba.com/properties/blue-residence
Blue Residence,Blue Residence,For Sale,"12,626
sq.ft","3,315sq.ft",,2,,,https://boldrealestatearuba.com/properties/o-condominium
Blue Residence,Blue Residence,For Sale,"12,626
sq.ft","3,315sq.ft",,2,,,https://boldrealestatearuba.com/properties/palm-aruba-unit-groundfl
Blue Residence,Blue Residence,For Sale,"12,626
sq.ft","3,315sq.ft",,2,,,https://boldrealestatearuba.com/properties/palm-aruba-condo-5th-fl
Blue Residence,Blue Residence,For Sale,"12,626
sq.ft","3,315sq.ft",,2,,,https://boldrealestatearuba.com/properties/aracari-residences
Blue Residence,Blue Residence,For Sale,"12,626
sq.ft","3,315sq.ft",,2,,,https://boldrealestatearuba.com/properties/the-daher-residence
Blue Residence Penthouse 1-2,"Blue Residences, Noord, Aruba",For Sale,"12,626
sq.ft","3,315sq.ft",,3,,,https://boldrealestatearuba.com/properties/blue-residence-penthouse-1-2
