name,location,property,property_lot_size,property_living_size,price,bedrooms,bathrooms,Pool,link
Paradera 87H,"Paradera 87H, Paradera, Aruba",Residential,,,,2,,,https://boldrealestatearuba.com/properties/paradera-87h
Centrally Located,"Noord Cura Cabay 130, Savaneta, Aruba",For Sale,"7,803
sq.ft",505sq.ft,"$221,900",4,1,,https://boldrealestatearuba.com/properties/centrally-located
Bella Vista Residence,"Tierra del sol , Aruba",For Sale,,,,6,,,https://boldrealestatearuba.com/properties/bella-vista-residence
Blue Residence,Blue Residence,For Sale,,,,2,,,https://boldrealestatearuba.com/properties/blue-residence
O Condominium,O Condominium,For Sale,,,,2,,,https://boldrealestatearuba.com/properties/o-condominium
Palm Aruba Unit Ground Floor,Palm Aruba Unit Groundfloor,For Sale,,,,3,,,https://boldrealestatearuba.com/properties/palm-aruba-unit-groundfl
Palm Aruba Condo 5th Floor,Palm Aruba Condo 5th Floor,For Sale,,,,2,,,https://boldrealestatearuba.com/properties/palm-aruba-condo-5th-fl
Aracari Residences,Aracari Residences,For Sale,,,,Fully Furnished,,,https://boldrealestatearuba.com/properties/aracari-residences
The Daher Residence,The Daher Residence,For Sale,,,,2,,,https://boldrealestatearuba.com/properties/the-daher-residence
Blue Residence Penthouse 1-2,"Blue Residences, Noord, Aruba",For Sale,,,,3,,,https://boldrealestatearuba.com/properties/blue-residence-penthouse-1-2
