name,location,property,price,bedrooms,bathrooms,Pool,link
Boutique Hotel at Malmok ,,"
OceanZ
The","USD 9,500,000", 1.430 m2, 1.420 m2,,https://homecityaruba.com//listings/condo-ocean-z
Eagle Beach 5000m2 Property land ,,"
Right","USD 6,000,000", Walking Distance, 5.000 m2,,https://homecityaruba.com//listings/eagle-beach-5000m2-property-land
Home at Malmok Beach ,,"
With","USD 5,600,000", 1.012 m2, 1.195 m2,,https://homecityaruba.com//listings/lg-smith-boulevard-529
Casa Versace at Tierra del Sol ,,"
A","USD 4,500,000", 1.088 m2, 3.387 m2,,https://homecityaruba.com//listings/villa-tierra-del-sol-4
Home at Malmok Beach ,,"
This","USD 3,300,000",,,,https://homecityaruba.com//listings/lg-smith-boulevard
Building with apartments in Oranjestad ,,"
This","USD 2,995,000", 1.018 m2, 518 m2,,https://homecityaruba.com//listings/building-oranjestad-2
Coral Shell 3,,"
This",CD,,,,https://homecityaruba.com//listings/coral-shell-3-cd
Commercial building at Eagle ,,"
Great","USD 1,760,000", 1.150 m2, 1.472 m2,,https://homecityaruba.com//listings/frankrijkstraat-7
Home at Opal ,,"
Become","USD 1,685,800",,,,https://homecityaruba.com//listings/home-opal-2
Villa Morgenster 11 ,,"
This","USD 1,685,000", 897 m2, 4.700 m2,,https://homecityaruba.com//listings/villa-hill-morgenster
Commercial Property in Savaneta 11.800 m2 ,,"
Private","USD 1,629,000",,,,https://homecityaruba.com//listings/savaneta-11800-m2
Ocean Front Turquiose Penthouse ,,"
For","USD 1,585,750", 5, 300 m2,,https://homecityaruba.com//listings/ocean-front-penthouse
Commercial building at Wayaca ,,"
This","USD 1,500,000", 1.497 m2, 2.640 m2,,https://homecityaruba.com//listings/wayaca
Home at Opal ,,"
This","USD 1,480,000",,,,https://homecityaruba.com//listings/home-opal
Kudawecha 40 ,,"
Well","USD 1,450,000",,,,https://homecityaruba.com//listings/kudawecha-40
Commercial building in Eagle ,,"
This","USD 1,435,000", 997 m2, 3.684 m2,,https://homecityaruba.com//listings/commercial-building-eagle
