name,location,property_status,property_type,property_size,price,bedrooms,bathrooms,Pool,Latitude,Longitude,link
L. G. SMITH BLVD - MALMOK,Malmok,Sold, Residential,1375 m² (14.801 Sq Ft),2.400.000,3,2,No,12.590829896567056,"-70.04712218017578
                                        ",https://kw-aruba.com//listings/l-g-smith-blvd
Rooi Santo 1-A,Noord,New Listing, Residential,1450 m² (15.608 Sq Ft),1.900.000,8,9,Yes,12.584442613570282,"-70.03809118242263
                                        ",https://kw-aruba.com//listings/rooisanto
Opal 125,Noord,,,872 m² (9.386 Sq Ft),1.685.800,3,3,Yes,12.58800275813263,"-70.04124277801513
                                        ",https://kw-aruba.com//listings/opal-125
Oranjestad Luxury Villa,Oranjestad,New Listing, Residential,566 m² (6.092 Sq Ft),1.550.000,5,5,,,,https://kw-aruba.com//listings/oranjestad-luxury-villa
Opal 120,Noord,New Listing, Residential,1001 m² (10.775 Sq Ft),1.485.800,6,6,Yes,12.58843141191287,"-70.0418127474308
                                        ",https://kw-aruba.com//listings/opal 120
Westpunt 12-C,Noord,New Listing, Residential,938 m² (10.097 Sq Ft),1.350.000,6,7,Yes,12.592232983332247,"-70.03804558486938
                                        ",https://kw-aruba.com//listings/westpunt-12-c
Seroe Janchi 31,Noord,New Listing, Residential,1492 m² (16.060 Sq Ft),1.265.000,6,3,Yes,,,https://kw-aruba.com//listings/seroe-janchi-31
Opal 138,Noord,,,473 m² (5.091 Sq Ft),1.200.000,4,3,Yes,12.589570152557531,"-70.04244106498184
                                        ",https://kw-aruba.com//listings/opal-ocean-view
Altovista 37-G,Noord,,,873 m² (9.397 Sq Ft),1.200.000,4,4,Yes,12.57210214208684,"-70.02050393791198
                                        ",https://kw-aruba.com//listings/altovista-37-g
Opal 133,Noord,Under contract, Residential,938 m² (10.097 Sq Ft),1.199.000,4,4,Yes,12.58944774389157,"-70.0415431854248
                                        ",https://kw-aruba.com//listings/opal-133
Caya di Oro 52 Tierra del Sol,Malmok,Sold, Residential,869 m² (9.354 Sq Ft),1.150.000,3,3,Yes,12.601653883884683,"-70.03652745456695
                                        ",https://kw-aruba.com//listings/52-tierra-del-sol
Alto Vista 45-A,Noord,New Listing, Residential,762 m² (8.202 Sq Ft),1.100.000,4,4,Yes,12.570719888583659,"-70.01940423221588
                                        ",https://kw-aruba.com//listings/AltoVista45A
Ruby 38,Malmok,New Listing, Residential,664 m² (7.147 Sq Ft),1.100.000,3,3,Yes,12.591604736475732,"-70.0419937965393
                                        ",https://kw-aruba.com//listings/ruby-38-1
Villa Safir - ON HOLD,Noord,New Listing, Residential,700 m² (7.535 Sq Ft),1.000.000,5,5,Yes,12.59298687752872,"-70.03636115760803
                                        ",https://kw-aruba.com//listings/villa-safir
Koyari Boutique Apartments,Noord,Under contract, Residential,1506 m² (16.211 Sq Ft),939.000,8,8,Yes,12.558781935349463,"-70.04541093082427
                                        ",https://kw-aruba.com//listings/koyari-apartments-2
Villa Esmeralda,Noord,Under contract, Residential,692 m² (7.449 Sq Ft),895.000,3,3,Yes,12.594981545235358,"-70.03924721450807
                                        ",https://kw-aruba.com//listings/villa-esmeralda
Safir 39,Malmok,Under contract, Residential,655 m² (7.050 Sq Ft),875.000,4,4,Yes,12.593746004862453,"-70.03616803855896
                                        ",https://kw-aruba.com//listings/safir-39
Monaco Vacation House,Oranjestad,,,1382 m² (14.876 Sq Ft),850.000,8,8,Yes,12.526811149395177,"-70.02170020313262
                                        ",https://kw-aruba.com//listings/seroe-blanco-56-l
Paradera 104-C,Paradera,Under contract, Residential,2329 m² (25.069 Sq Ft),795.000,5,3,Yes,12.529934831576991,"-70.00340217323303
                                        ",https://kw-aruba.com//listings/paradera-104-c
Caya Frere Johannes 4,Oranjestad,New Listing, Residential,690 m² (7.427 Sq Ft),795.000,12,12,No,12.534667232662475,"-70.03700196814144
                                        ",https://kw-aruba.com//listings/cfj4
Villa Casa Blanca,Oranjestad,Under contract, Residential,625 m² (6.728 Sq Ft),790.000,5,5,Yes,,,https://kw-aruba.com//listings/Villa-Casa-Blanca
Tuscany Villas,Noord,,,469 m² (5.048 Sq Ft),788.000,3,3,Yes,12.58144262988543,"-70.03438705177307
                                        ",https://kw-aruba.com//listings/tuscany-villas
Rooi Santo 25-M,Noord,New Listing, Residential,789 m² (8.493 Sq Ft),750.000,4,4,Yes,12.58916633878849,"-70.0400854048252
                                        ",https://kw-aruba.com//listings/rooi-santo-25-m
Seroe Blanco 54-A,Oranjestad,Sold, Residential,1725 m² (18.568 Sq Ft),735.000,8,5,Yes,12.525625030490248,"-70.02203279705047
                                        ",https://kw-aruba.com//listings/seroe-blanco-54-
Palm Beach 33-A,Noord,,,1060 m² (11.410 Sq Ft),695.000,3,2,No,12.56743700671298,"-70.04117840499877
                                        ",https://kw-aruba.com//listings/palm-beach-33-
Villa Westpunt,Malmok,Reduced in price, Residential,864 m² (9.300 Sq Ft),680.000,4,3,Yes,12.594965839250884,"-70.0380670425415
                                        ",https://kw-aruba.com//listings/villa-westpunt
Pos Abao 32M,Eagle Beach,New Listing, Residential,706 m² (7.599 Sq Ft),675.000,3,2,Yes,12.543246058639003,"-70.05048030586242
                                        ",https://kw-aruba.com//listings/pos-abao-32m-2
Alto Vista Villa Park,Noord,New Listing, Residential,2540 m² (27.341 Sq Ft),650.000,6,5,Yes,12.575070820494437,"-70.01491421432495
                                        ",https://kw-aruba.com//listings/alto-vista-villa-park
Ponton 34G,Oranjestad,,,898 m² (9.666 Sq Ft),645.000,7,7,No,12.536721443967172,"-70.0287007686615
                                        ",https://kw-aruba.com//listings/ponton-34g
Caya Maguey 1,Oranjestad,Sold, Residential,600 m² (6.458 Sq Ft),628.570,4,3,Yes,12.536569584996425,"-70.03350192279815
                                        ",https://kw-aruba.com//listings/caya-maguey-1
Seroe Colorado 185,San Nicolas,New Listing, Residential,893 m² (9.612 Sq Ft),625.000,4,3,No,12.420591357486456,"-69.8837541934967
                                        ",https://kw-aruba.com//listings/seroe-colorado-185
Villa Opal,Malmok,Under contract, Residential,547 m² (5.888 Sq Ft),575.000,3,3,No,12.586652003216672,"-70.04038447113037
                                        ",https://kw-aruba.com//listings/villa-opal
Ruby 72,Noord,New Listing, Residential,837 m² (9.009 Sq Ft),555.056,4,2,Yes,12.576295979359324,"-70.03544920654296
                                        ",https://kw-aruba.com//listings/ruby-72
