name,location,property_status,property_type,price,bedrooms,bathrooms,Pool,Latitude,Longitude,link
Modern Commercial Building Complex,Oranjestad,Commercial,Commercial for Sale,"1,500,000",7,7,No,12.52123908747604,"-70.0388560477339
        ",https://remaxaruba.com/property/details/Modern-Two-Story-Complex
Coral Shell Condominium Loft Unit 6,Oranjestad,New Listing,Condominium for Sale,"1,398,400",2,4,1 m,12.513847023754996,"-70.03228768351136
        ",https://remaxaruba.com/property/details/coral-shell-loft
Oranjestad Luxury Villa,Oranjestad,New Listing,Residential for Sale,"1,300,000",5,5,Yes,12.51019944201238,"-70.02369388582764
        ",https://remaxaruba.com/property/details/av-milio-croes-46g
Tierra del Sol - La Colina 25,Malmok,Luxury,Residential for Sale,"1,290,000",4,3,Yes,12.605674170263754,"-70.04504426958619
        ",https://remaxaruba.com/property/details/la-colina-25-2
Commercial Offices near Eagle,Oranjestad,Reduced,Commercial for Sale,"1,250,000",14,6,No,12.542719492331223,"-70.05651071312485
        ",https://remaxaruba.com/property/details/Medical-Offices-For-Sale
"Klip straat # 20, Ladies Choice",Oranjestad,New Listing,Commercial for Sale,"1,235,955",0,5,No,12.51934841171937,"-70.03573163988648
        ",https://remaxaruba.com/property/details/klip-straat-20-ladies-choice
Land near Airport,Oranjestad,,,"1,200,000",1,1,No,12.50731,"-70.01484
        ",https://remaxaruba.com/property/details/across-from-the-airport
Opal Luxury Villa 133,Noord,Under Contract,Residential for Sale,"1,150,000",4,4,Yes,12.589381991552171,"-70.04154935123978
        ",https://remaxaruba.com/property/details/Opal%20133%20Beautiful%20&%20Spacious
Esmeralda 121 C,Noord,New Listing,Residential for Sale,"1,150,000",5,4,Yes,12.596093740700095,"-70.03919705393372
        ",https://remaxaruba.com/property/details/esmeralda-121-c
Tuscany Luxury Villa 14,Eagle Beach,New Listing,Residential for Sale,"1,145,000",4,3,Yes,12.581633420039433,"-70.03686889650879
        ",https://remaxaruba.com/property/details/tuscany-residence-luxury-villa-14
Esmeralda 125,Malmok,New Listing,Residential for Sale,"1,100,000",4,3,Yes,12.5092044,"-70.0086306
        ",https://remaxaruba.com/property/details/esmeralda-125
Bubali Villa Park 113-L,Noord,New Listing,Residential for Sale,"1,100,000",4,3,Yes,12.549380097768546,"-70.04563435556946
        ",https://remaxaruba.com/property/details/bubali-villa-park-113-l
Palm Beach 514,Palm Beach,New Listing,Residential for Sale,"1,075,000",5,5,Yes,12.583512993674974,"-70.0425444507843
        ",https://remaxaruba.com/property/details/palm-beach-514
Wilhelminastraat 102/104,Oranjestad,New Listing,Commercial for Sale,"1,039,325",0,0,No,12.51787684775079,"-70.03060325625
        ",https://remaxaruba.com/property/details/wilhelminastraat-102
Atlantic 360,Oranjestad,New Listing,Condominium for Sale,"960,705",3,3,Yes,12.553553360995563,"-70.05280121805727
        ",https://remaxaruba.com/property/details/atlantic-360-Aruba
Frere Alexius,Eagle Beach,New Listing,Commercial for Sale,"950,000",10,8,Yes,12.5092044,"-70.0086306
        ",https://remaxaruba.com/property/details/frere-alexius
Coral Shell Condominium Unit 2,Oranjestad,New Listing,Condominium for Sale,"935,611",2,2,1 m,12.513849642244432,"-70.03229304792939
        ",https://remaxaruba.com/property/details/coral-shell-condominium-unit-2
Pekinini 11,Santa Cruz,Reduced,Residential for Sale,"900,000",4,4,Yes,12.518397918514227,"-69.97282713296471
        ",https://remaxaruba.com/property/details/pekinini-11
Gold Coast Diamante Luxury Villa 129,Malmok,Luxury,Residential for Sale,"885,000",4,3,Yes,12.598742585659519,"-70.04060618401788
        ",https://remaxaruba.com/property/details/gold-coast-diamante-129
Coral Shell Condominium Unit 13,Oranjestad,New Listing,Condominium for Sale,"816,333",2,2,Yes,12.513875827138577,"-70.0322957301384
        ",https://remaxaruba.com/property/details/coral-shell-condominium-ocean-view
Scopetstraat 12,Noord,New Listing,Residential for Sale,"786,517",5,5,No,12.53002616358992,"-70.03167613985597
        ",https://remaxaruba.com/property/details/scopetstraat-12
Tanki Leendert Commercial Building,Oranjestad,Commercial,Commercial for Sale,"773,000",5,2,No,12.543046766668766,"-70.02134963514862
        ",https://remaxaruba.com/property/details/Tanki-Leendert-Commercial-Building
Piedra Plat 110-A,Paradera,Reduced,Residential for Sale,"750,000",4,3,333 m,12.520657625277305,"-69.98658820631562
        ",https://remaxaruba.com/property/details/piedra-plat-110-a
The Daher Residence *** Only 3 Unites Left***,Noord,New Listing,Residential for Sale,"748,000",3,4,Yes,12.585026066629244,"-70.04006608965452
        ",https://remaxaruba.com/property/details/the-daher-residence
The Daher Residence - Suite 3,Noord,New Listing,Residential for Sale,"748,000",3,4,Yes,12.5092044,"-70.0086306
        ",https://remaxaruba.com/property/details/the-daher-residence-suite-3
Bubali 109 Apartment Complex,Noord,New Listing,Commercial for Sale,"736,500",8,8,No,12.552097700955759,"-70.04374071600495
        ",https://remaxaruba.com/property/details/bubali-109-apartment-complex
Waykiri C-9,Malmok,Under Contract,Condominium for Sale,"725,000",2,2,Yes,12.584219793569382,"-70.03694399836121
        ",https://remaxaruba.com/property/details/waykiri-c-9
Gold Coast Luxury Villa Diamante 176,Malmok,New Listing,Residential for Sale,"720,000",4,3,Yes,12.598428676207336,"-70.04246934893189
        ",https://remaxaruba.com/property/details/gold-coast-luxury-villa-diamante-176
Aruba's Life Condominiums Duplex Terrace Units,Palm Beach,New Listing,Condominium for Sale,"701,000",3,3,Yes,12.565224524447759,"-70.02840384485779
        ",https://remaxaruba.com/property/details/sold-arubas-life-condominium-unit-terrancesuites
