name,location,property,price,bedrooms,bathrooms,Pool,link
L. G. SMITH BLVD - MALMOK,Malmok,Sold,2.400.000,3,2,No,https://kw-aruba.com//listings/l-g-smith-blvd
Opal 125,Noord,,1.685.800,3,3,Yes,https://kw-aruba.com//listings/opal-125
Westpunt 12-C,Noord,Price upon Request,upon,6,7,Yes,https://kw-aruba.com//listings/westpunt-12-c
Alto Vista 45-A,Noord,New Listing,1.290.000,4,4,Yes,https://kw-aruba.com//listings/AltoVista45A
Seroe Janchi 31,Noord,New Listing,1.265.000,6,3,Yes,https://kw-aruba.com//listings/seroe-janchi-31
Opal 138,Noord,,1.200.000,4,3,Yes,https://kw-aruba.com//listings/opal-ocean-view
Altovista 37-G,Noord,,1.200.000,4,4,Yes,https://kw-aruba.com//listings/altovista-37-g
Opal 133,Noord,Under contract,1.199.000,4,4,Yes,https://kw-aruba.com//listings/opal-133
Caya di Oro 52 Tierra del Sol,Malmok,Sold,1.150.000,3,3,Yes,https://kw-aruba.com//listings/52-tierra-del-sol
Koyari Boutique Apartments,Noord,Under contract,939.000,8,8,Yes,https://kw-aruba.com//listings/koyari-apartments-2
Villa Esmeralda,Noord,New Listing,895.000,3,3,Yes,https://kw-aruba.com//listings/villa-esmeralda
Safir 39,Malmok,New Listing,875.000,4,4,Yes,https://kw-aruba.com//listings/safir-39
Villa Westpunt,Malmok,New Listing,850.000,4,3,Yes,https://kw-aruba.com//listings/villa-westpunt
Paradera 104-C,Paradera,,795.000,5,3,Yes,https://kw-aruba.com//listings/paradera-104-c
Caya Frere Johannes 4,Oranjestad,New Listing,795.000,12,12,No,https://kw-aruba.com//listings/cfj4
Villa Casa Blanca,Oranjestad,Under contract,790.000,5,5,Yes,https://kw-aruba.com//listings/Villa-Casa-Blanca
Tuscany Villas,Noord,,788.000,3,3,Yes,https://kw-aruba.com//listings/tuscany-villas
Monaco Vacation House,Oranjestad,Reduced in price,780.000,8,8,Yes,https://kw-aruba.com//listings/seroe-blanco-56-l
Seroe Blanco 54-A,Oranjestad,Sold,735.000,8,5,Yes,https://kw-aruba.com//listings/seroe-blanco-54-
Palm Beach 33-A,Noord,,695.000,3,2,No,https://kw-aruba.com//listings/palm-beach-33-
Alto Vista Villa Park,Noord,New Listing,650.000,6,5,Yes,https://kw-aruba.com//listings/alto-vista-villa-park
Ponton 34G,Oranjestad,,645.000,7,7,No,https://kw-aruba.com//listings/ponton-34g
Caya Maguey 1,Oranjestad,Sold,628.570,4,3,Yes,https://kw-aruba.com//listings/caya-maguey-1
Seroe Colorado 185,San Nicolas,New Listing,625.000,4,3,No,https://kw-aruba.com//listings/seroe-colorado-185
Villa Opal,Malmok,Under contract,575.000,3,3,No,https://kw-aruba.com//listings/villa-opal
Charming Paradiso Residence,Paradera,Sold,570.000,7,5,Yes,https://kw-aruba.com//listings/charming-paradiso-residence
Ruby 72,Noord,New Listing,555.056,4,2,Yes,https://kw-aruba.com//listings/ruby-72
CUNUCU ABAO,Noord,New Listing,535.000,5,3,No,https://kw-aruba.com//listings/cunucu-abao-2
Marawiel 13A,Ayo,New Listing,533.709,4,4,Yes,https://kw-aruba.com//listings/marawiel-13a
Italiëstraat 10,Oranjestad,New Listing,528.090,4,3,No,https://kw-aruba.com//listings/italiestraat-10
Ierlandstraat Residence,Oranjestad,Reduced in price,498.000,5,5,Yes,https://kw-aruba.com//listings/ierlandstraat-Residence
Pavia 195,Paradera,Sold,485.000,4,3,Yes,https://kw-aruba.com//listings/pavia195
Opal 97,Noord,Under contract,477.530,3,2,No,https://kw-aruba.com//listings/opal-97
Paradera 164-A,Paradera,Under contract,477.528,4,4,No,https://kw-aruba.com//listings/paradera-164-
Daimari Water Villas,Noord,Sold,469.775,2,2,Yes,https://kw-aruba.com//listings/daimari-water-villas
Sabana Liber 41T,Noord,,450.000,2,2,No,https://kw-aruba.com//listings/sabana-liber-41t
Tanki Leendert 112a,Tanki Leendert,Sold,449.000,4,3,Yes,https://kw-aruba.com//listings/tanki-leendert-112a
Palm Beach 6-C,Noord,New Listing,446.500,4,4,,https://kw-aruba.com//listings/palm-beach-6-c
Cashero 37-E,Ayo,New Listing,439.000,4,2,Yes,https://kw-aruba.com//listings/cashero-37-e
Gasparito 7-C,Palm Beach,Reduced in price,435.000,3,2,No,https://kw-aruba.com//listings/gasparito-7-
Safir 48,Noord,Sold,429.000,5,2,Yes,https://kw-aruba.com//listings/safir-48
Esmeralda 113-D,Noord,Sold,425.000,3,2,No,https://kw-aruba.com//listings/esmeralda-113-d
Bloemond 28K,Paradera,Sold,425.000,4,3,No,https://kw-aruba.com//listings/bloemond-28k
Washington 52-H,Noord,New Listing,425.000,4,3,No,https://kw-aruba.com//listings/washington52h
Ierlandstraat Residence 21,Oranjestad,Reduced in price,421.349,4,3,No,https://kw-aruba.com//listings/ierlandstraat-residence-2
kibrahachastraat 14,Oranjestad,New Listing,421.000,5,4,No,https://kw-aruba.com//listings/kibrahachastraat-14
Seroe Blanco Home,Oranjestad,New Listing,407.304,0,0,,https://kw-aruba.com//listings/seroe-blanco-home
Caya Frere Bonifacius 3,Oranjestad,,400.000,7,4,No,https://kw-aruba.com//listings/caya-frere-bonifacious-3
Tanki Flip 3-A,Noord,,393.259,5,5,No,https://kw-aruba.com//listings/tanki-flip-3-
Apartment complex Bubali 79-D,Eagle Beach,Sold,389.000,8,6,No,https://kw-aruba.com//listings/apartment-complex-bubali-79-d
Kudawecha 63-B Apartments,Noord,,385.000,7,6,No,https://kw-aruba.com//listings/kudawecha-63-b-apartments
Caya Luna 46,Oranjestad,Sold,385.000,4,3,Yes,https://kw-aruba.com//listings/caya-luna-46
Morgenster 43I,Santa Cruz,New Listing,382.023,4,3,No,https://kw-aruba.com//listings/morgenster-43i
Cochinilla 28,Santa Cruz,Under contract,370.000,3,3,No,https://kw-aruba.com//listings/cochinilla-28
Wayaca Residence 497,Oranjestad,New Listing,365.168,3,0,No,https://kw-aruba.com//listings/wayaca-residence-497
Bloemond 28-E,Paradera,New Listing,365.000,5,3,Yes,https://kw-aruba.com//listings/bloemond-28-e
Sabana Liber 89-Z,Noord,Sold,365.000,3,2,No,https://kw-aruba.com//listings/sabana-liber-89-z
Savaneta 349-F,Savaneta,New Listing,359.550,5,4,No,https://kw-aruba.com//listings/savaneta-349-f
Caya Luna 24,Oranjestad,Sold,358.989,3,2,Yes,https://kw-aruba.com//listings/caya-luna-24
Paradera 1E,Paradera,Reduced in price,355.000,3,2,No,https://kw-aruba.com//listings/paradera-1e
Koyari 33-F,Noord,Under contract,336.000,3,2,,https://kw-aruba.com//listings/koyari-33-f
Coba Lodo 12-F,Santa Cruz,Sold,329.000,3,2,No,https://kw-aruba.com//listings/coba-lodo
