name,location,property,price,bedrooms,bathrooms,Pool,link
Modern Commercial Building Complex,Oranjestad,Commercial,"1,500,000",7,7,No,https://remaxaruba.com/property/details/Modern-Two-Story-Complex
Coral Shell Condominium Loft Unit 6,Oranjestad,New Listing,"1,398,400",2,4,1 m,https://remaxaruba.com/property/details/coral-shell-loft
Oranjestad Luxury Villa,Oranjestad,New Listing,"1,300,000",5,5,Yes,https://remaxaruba.com/property/details/av-milio-croes-46g
Tierra del Sol - La Colina 25,Malmok,Luxury,"1,290,000",4,3,Yes,https://remaxaruba.com/property/details/la-colina-25-2
Commercial Offices near Eagle,Oranjestad,Reduced,"1,250,000",14,6,No,https://remaxaruba.com/property/details/Medical-Offices-For-Sale
"Klip straat # 20, Ladies Choice",Oranjestad,New Listing,"1,235,955",0,5,No,https://remaxaruba.com/property/details/klip-straat-20-ladies-choice
Land near Airport,Oranjestad,,"1,200,000",1,1,No,https://remaxaruba.com/property/details/across-from-the-airport
Opal Luxury Villa 133,Noord,Luxury,"1,150,000",4,4,Yes,https://remaxaruba.com/property/details/Opal%20133%20Beautiful%20&%20Spacious
Esmeralda 121 C,Noord,New Listing,"1,150,000",5,4,Yes,https://remaxaruba.com/property/details/esmeralda-121-c
Tuscany Luxury Villa 14,Eagle Beach,New Listing,"1,145,000",4,3,Yes,https://remaxaruba.com/property/details/tuscany-residence-luxury-villa-14
Esmeralda 125,Malmok,New Listing,"1,100,000",4,3,Yes,https://remaxaruba.com/property/details/esmeralda-125
Bubali Villa Park 113-L,Noord,New Listing,"1,100,000",4,3,Yes,https://remaxaruba.com/property/details/bubali-villa-park-113-l
Divi The Residences Penthouse 42,Eagle Beach,Under Contract,"1,085,000",3,2,Yes,https://remaxaruba.com/property/details/divi-the-residences-penthouse-42
Palm Beach 514,Palm Beach,New Listing,"1,075,000",5,5,Yes,https://remaxaruba.com/property/details/palm-beach-514
Wilhelminastraat 102/104,Oranjestad,New Listing,"1,039,325",0,0,No,https://remaxaruba.com/property/details/wilhelminastraat-102
Atlantic 360,Oranjestad,New Listing,"960,705",3,3,Yes,https://remaxaruba.com/property/details/atlantic-360-Aruba
Frere Alexius,Eagle Beach,New Listing,"950,000",10,8,Yes,https://remaxaruba.com/property/details/frere-alexius
Coral Shell Condominium Unit 2,Oranjestad,New Listing,"935,611",2,2,1 m,https://remaxaruba.com/property/details/coral-shell-condominium-unit-2
Pekinini 11,Santa Cruz,Reduced,"900,000",4,4,Yes,https://remaxaruba.com/property/details/pekinini-11
Gold Coast Diamante Luxury Villa 129,Malmok,Luxury,"885,000",4,3,Yes,https://remaxaruba.com/property/details/gold-coast-diamante-129
